CODIGO DANE,MUNICIPIOS,ATP:,ANU:,ARE:,ACO:,PRO:,REN:,PPP,CPE:,CPS:
41006,Acevedo,15.982,147,1.243,11.532,14.415,"1,25",5.734.568,8.776.370,5.978.875
41013,Agrado,1.241,2,74,1.047,1.309,"1,25",5.734.568,8.776.370,5.978.875
41016,Aipe,1.030,9,44,881,1.057,"1,20",5.734.568,8.776.370,5.978.875
41020,Algeciras,6.025,93,385,4.506,5.497,"1,22",5.734.568,8.776.370,5.978.875
41026,Altamira,102,0,2,80,100,"1,25",5.734.568,8.776.370,5.978.875
41078,Baraya,821,27,36,594,712,"1,20",5.734.568,8.776.370,5.978.875
41132,Campoalegre,1.835,6,93,1.409,1.691,"1,20",5.734.568,8.776.370,5.978.875
41206,Colombia,1.797,18,84,1.333,1.600,"1,20",5.734.568,8.776.370,5.978.875
41244,Elias,988,14,59,757,946,"1,25",5.734.568,8.776.370,5.978.875
41298,Garzón,10.329,72,685,7.699,9.624,"1,25",5.734.568,8.776.370,5.978.875
41306,Gigante,5.680,62,341,4.237,5.296,"1,25",5.734.568,8.776.370,5.978.875
41319,Guadalupe,5.389,55,418,3.916,4.895,"1,25",5.734.568,8.776.370,5.978.875
41349,Hobo ,1.075,6,58,785,941,"1,20",5.734.568,8.776.370,5.978.875
41357,Iquira,2.610,23,198,1.933,2.359,"1,22",5.734.568,8.776.370,5.978.875
41359,Isnos,4.239,41,302,3.150,3.938,"1,25",5.734.568,8.776.370,5.978.875
41378,La Argentina,2.502,15,136,2.014,2.517,"1,25",5.734.568,8.776.370,5.978.875
41396,La Plata,11.134,175,736,8.515,10.644,"1,25",5.734.568,8.776.370,5.978.875
41483,Nátaga,2.085,32,85,1.639,2.033,"1,24",5.734.568,8.776.370,5.978.875
41001,Neiva,3.982,69,222,3.180,3.879,"1,22",5.734.568,8.776.370,5.978.875
41503,Oporapa,3.285,19,230,2.564,3.205,"1,25",5.734.568,8.776.370,5.978.875
41518,Paicol,1.720,19,82,1.383,1.715,"1,24",5.734.568,8.776.370,5.978.875
41524,Palermo,2.557,24,145,1.937,2.325,"1,20",5.734.568,8.776.370,5.978.875
41530,Palestina,5.001,35,388,3.952,4.939,"1,25",5.734.568,8.776.370,5.978.875
41548,Pital,5.041,50,340,3.864,4.830,"1,25",5.734.568,8.776.370,5.978.875
41551,Pitalito,20.572,164,1.354,15.380,19.225,"1,25",5.734.568,8.776.370,5.978.875
41615,Rivera,807,7,38,633,759,"1,20",5.734.568,8.776.370,5.978.875
41660,Saladoblanco,4.114,28,208,3.428,4.286,"1,25",5.734.568,8.776.370,5.978.875
41668,San Agustín,7.164,53,544,5.506,6.883,"1,25",5.734.568,8.776.370,5.978.875
41676,Santa Maria,3.213,27,115,2.495,3.119,"1,25",5.734.568,8.776.370,5.978.875
41770,Suaza,6.661,108,486,5.096,6.370,"1,25",5.734.568,8.776.370,5.978.875
41791,Tarqui,4.377,11,250,3.356,4.195,"1,25",5.734.568,8.776.370,5.978.875
41799,Tello,3.436,26,231,2.655,3.186,"1,20",5.734.568,8.776.370,5.978.875
41801,Teruel,2.874,27,131,2.198,2.637,"1,20",5.734.568,8.776.370,5.978.875
41797,Tesalia,762,8,43,566,680,"1,20",5.734.568,8.776.370,5.978.875
41807,Timaná,5.240,35,312,4.025,5.032,"1,25",5.734.568,8.776.370,5.978.875
41872,Villavieja,0,0,0,0,0,0,0,0,0
41885,Yaguará,0,0,0,0,0,0,0,0,0
