arco_codigo,arco_codMunicipio,arco_codCultivo,arco_anio,arco_semestre,arco_HasTotalPlantada,arco_HasNuevas,arco_HasRenovadas,arco_HasCosechadas,arco_toneladasProduccion,arco_rendimiento,arco_precioProductor,arco_precioPromedioProduccion,arco_costoPromedioEstablecimiento,arco_costoPromedioSostenimiento
,41006,1,2015,,0.00,,,0.00,0.00,,,,,
,41013,1,2015,,0.00,,,0.00,0.00,,,,,
,41016,1,2015,,0.00,,,0.00,0.00,,,,,
,41020,1,2015,,8.00,,,7.00,17.5,,,,,
,41026,1,2015,,0.00,,,0.00,0.00,,,,,
,41078,1,2015,,0.00,,,0.00,0.00,,,,,
,41132,1,2015,,0.00,,,0.00,0.00,,,,,
,41206,1,2015,,0.00,,,0.00,0.00,,,,,
,41244,1,2015,,17.00,,,17.00,34.00,,,,,
,41298,1,2015,,15.00,,,13.00,26.00,,,,,
,41306,1,2015,,7.00,,,7.00,12.6,,,,,
,41319,1,2015,,0.00,,,0.00,0.00,,,,,
,41349,1,2015,,0.00,,,0.00,0.00,,,,,
,41357,1,2015,,1.00,,,1.00,2.5,,,,,
,41359,1,2015,,10.00,,,10.00,20.00,,,,,
,41378,1,2015,,0.00,,,0.00,0.00,,,,,
,41396,1,2015,,10.00,,,10.00,20.00,,,,,
,41483,1,2015,,0.00,,,0.00,0.00,,,,,
,41001,1,2015,,0.00,,,0.00,0.00,,,,,
,41503,1,2015,,0.00,,,0.00,0.00,,,,,
,41518,1,2015,,0.00,,,0.00,0.00,,,,,
,41524,1,2015,,0.00,,,0.00,0.00,,,,,
,41530,1,2015,,0.00,,,0.00,0.00,,,,,
,41548,1,2015,,0.00,,,0.00,0.00,,,,,
,41551,1,2015,,0.00,,,0.00,0.00,,,,,
,41615,1,2015,,0.00,,,0.00,0.00,,,,,
,41660,1,2015,,0.00,,,0.00,0.00,,,,,
,41668,1,2015,,25.00,,,25.00,50.00,,,,,
,41676,1,2015,,0.00,,,0.00,0.00,,,,,
,41770,1,2015,,0.00,,,0.00,0.00,,,,,
,41791,1,2015,,0.00,,,0.00,0.00,,,,,
,41799,1,2015,,0.00,,,0.00,0.00,,,,,
,41801,1,2015,,0.00,,,0.00,0.00,,,,,
,41797,1,2015,,0.00,,,0.00,0.00,,,,,
,41807,1,2015,,0.00,,,0.00,0.00,,,,,
,41872,1,2015,,0.00,,,0.00,0.00,,,,,
,41885,1,2015,,0.00,,,0.00,0.00,,,,,
,41006,2,2015,,10.00,,,10.00,80.00,,,,,
,41013,2,2015,,0.00,,,0.00,0.00,,,,,
,41016,2,2015,,0.00,,,0.00,0.00,,,,,
,41020,2,2015,,47.00,,,43.00,344.00,,,,,
,41026,2,2015,,0.00,,,0.00,0.00,,,,,
