cies_codigo,cies_anio,cies_semestre,cies_puesto,cies_institucion_educativa,cies_codMunicipio,cies_tipo_institucion,cies_indice,cies_categoria
1,2014,2,1,14,41615,2,0.8659,A+
2,2014,2,2,15,41001,2,0.8521,A+
3,2014,2,3,16,41001,2,0.8495,A+
4,2014,2,4,17,41001,2,0.8362,A+
5,2014,2,5,18,41001,2,0.8243,A+
6,2014,2,6,19,41001,2,0.815,A+
7,2014,2,7,20,41001,2,0.8117,A+
8,2014,2,8,21,41001,2,0.8092,A+
9,2014,2,9,22,41001,2,0.7991,A+
10,2014,2,10,23,41001,2,0.7921,A+
11,2014,2,11,24,41001,2,0.7878,A+
12,2014,2,12,25,41668,2,0.7861,A+
13,2014,2,13,26,41551,2,0.7845,A+
14,2014,2,14,27,41001,2,0.7812,A+
15,2014,2,15,28,41298,2,0.7803,A+
16,2014,2,16,29,41001,1,0.7767,A+
17,2014,2,17,30,41524,2,0.7513,A
18,2014,2,18,31,41001,2,0.7511,A
19,2014,2,19,32,41001,2,0.7478,A
20,2014,2,20,33,41551,2,0.7444,A
21,2014,2,21,34,41615,2,0.7425,A
22,2014,2,22,35,41551,1,0.7413,A
23,2014,2,23,36,41001,2,0.7401,A
24,2014,2,24,37,41298,2,0.7388,A
25,2014,2,25,38,41524,1,0.7385,A
26,2014,2,26,39,41306,1,0.7353,A
27,2014,2,27,40,41001,2,0.7341,A
28,2014,2,28,41,41001,2,0.7251,A
29,2014,2,29,42,41001,2,0.72,B
30,2014,2,30,43,41001,1,0.7162,B
31,2013,,1,15,41001,,62.235,MUY SUPERIOR
32,2013,,2,14,41615,,62.195,MUY SUPERIOR
33,2013,,3,16,41001,,62.04875,MUY SUPERIOR
34,2013,,4,17,41001,,58.97625,MUY SUPERIOR
35,2013,,5,21,41001,,57.0875,MUY SUPERIOR
36,2013,,6,20,41001,,55.9125,MUY SUPERIOR
37,2013,,7,22,41001,,54.5875,MUY SUPERIOR
38,2013,,8,18,41001,,54.5775,MUY SUPERIOR
39,2013,,9,19,41001,,54.44375,MUY SUPERIOR
40,2013,,10,23,41001,,54.00625,SUPERIOR
41,2013,,11,28,41298,,53.995,MUY SUPERIOR
42,2013,,12,25,41668,,53.72,MUY SUPERIOR
43,2013,,13,24,41001,,53.5925,MUY SUPERIOR
44,2013,,14,27,41001,,53.22875,MUY SUPERIOR
45,2013,,15,29,41001,,52.53,MUY SUPERIOR
46,2013,,16,19,41551,,52.45,MUY SUPERIOR
47,2013,,17,35,41551,,52.06375,MUY SUPERIOR
48,2013,,18,31,41001,,51.82375,SUPERIOR
49,2013,,19,35,41551,,50.5325,SUPERIOR
50,2013,,20,40,41001,,50.4125,SUPERIOR
51,2013,,21,44,41551,,50.08,SUPERIOR
52,2013,,22,38,41524,,49.79875,SUPERIOR
53,2013,,23,32,41001,,49.665,SUPERIOR
54,2013,,24,34,41615,,49.3675,SUPERIOR
55,2013,,25,43,41001,,49.27375,ALTO
56,2013,,26,45,41001,,48.9375,SUPERIOR
57,2013,,27,44,41551,,48.76875,NO REPORTADO
58,2013,,28,46,41020,,48.32625,SUPERIOR
59,2013,,29,39,41306,,48.22,SUPERIOR
60,2013,,30,47,41807,,48.025,ALTO
61,2012,,1,14,41615,,63.76625,MUY SUPERIOR
62,2012,,2,16,41001,,60.115,MUY SUPERIOR
63,2012,,3,15,41001,,59.08375,MUY SUPERIOR
64,2012,,4,17,41001,,58.09625,MUY SUPERIOR
65,2012,,5,27,41001,,57.39375,MUY SUPERIOR
66,2012,,6,20,41001,,56.63625,MUY SUPERIOR
67,2012,,7,18,41001,,54.78,MUY SUPERIOR
68,2012,,8,21,41001,,54.77625,MUY SUPERIOR
69,2012,,9,19,41001,,54.6175,MUY SUPERIOR
70,2012,,10,22,41001,,53.365,MUY SUPERIOR
71,2012,,11,28,41298,,52.55375,MUY SUPERIOR
72,2012,,12,35,41551,,52.345,MUY SUPERIOR
73,2012,,13,32,41001,,52.1,MUY SUPERIOR
74,2012,,14,36,41001,,52.0575,NO REPORTADO
75,2012,,15,19,41551,,51.8875,MUY SUPERIOR
76,2012,,16,25,41668,,51.61,MUY SUPERIOR
77,2012,,17,29,41001,,51.5575,MUY SUPERIOR
78,2012,,18,24,41001,,50.8125,MUY SUPERIOR
79,2012,,19,37,41298,,50.22875,SUPERIOR
80,2012,,20,23,41001,,50.05,SUPERIOR
81,2012,,21,34,41615,,50.03625,SUPERIOR
82,2012,,22,31,41001,,49.66125,SUPERIOR
83,2012,,23,33,41551,,48.9925,SUPERIOR
84,2012,,24,48,41001,,48.77,SUPERIOR
85,2012,,25,41,41001,,48.7425,SUPERIOR
86,2012,,26,49,41001,,48.4025,NO REPORTADO
87,2012,,27,50,41668,,48.26125,ALTO
