coal_codigo,coal_codMunicipio,coal_anio,coal_tipo_institucion,coal_aprobados,coal_reprobados,coal_desertores,coal_porce_aprobados,coal_porce_reprobados,coal_porce_desertores,coal_traslados
1,41006,2014,1,7725,0,69,,,,
2,41013,2014,1,2114,0,17,,,,
3,41016,2014,1,3881,18,179,,,,
4,41020,2014,1,5087,20,130,,,,
5,41026,2014,1,792,0,2,,,,
6,41078,2014,1,1527,4,62,,,,
7,41132,2014,1,6084,6,53,,,,
8,41206,2014,1,1528,0,28,,,,
9,41244,2014,1,770,0,36,,,,
10,41298,2014,1,15601,0,274,,,,
11,41306,2014,1,6389,1,175,,,,
12,41319,2014,1,4793,1,79,,,,
13,41349,2014,1,1677,0,44,,,,
14,41357,2014,1,2569,0,120,,,,
15,41359,2014,1,5888,10,147,,,,
16,41378,2014,1,3396,0,103,,,,
17,41396,2014,1,14396,10,108,,,,
18,41483,2014,1,1584,0,33,,,,
19,41001,2014,1,58142,168,1510,,,,
20,41503,2014,1,2640,0,103,,,,
21,41518,2014,1,1456,1,40,,,,
22,41524,2014,1,5041,28,106,,,,
23,41530,2014,1,2912,0,77,,,,
24,41548,2014,1,3028,0,37,,,,
25,41551,2014,1,22588,4353,1617,,,,
26,41615,2014,1,4601,0,1,,,,
27,41660,2014,1,2837,0,191,,,,
28,41668,2014,1,6928,4,130,,,,
29,41676,2014,1,2357,5,154,,,,
30,41770,2014,1,4718,5,32,,,,
31,41791,2014,1,4490,6,212,,,,
32,41799,2014,1,2678,2,33,,,,
33,41801,2014,1,1650,0,39,,,,
34,41797,2014,1,2396,1,6,,,,
35,41807,2014,1,4452,1,87,,,,
36,41872,2014,1,1353,0,7,,,,
37,41885,2014,1,1522,0,32,,,,
38,41006,2013,1,7230,0,73,,,,
39,41013,2013,1,1966,4,19,,,,
40,41016,2013,1,3499,130,184,,,,
41,41020,2013,1,4386,509,127,,,,
42,41026,2013,1,744,26,3,,,,
43,41078,2013,1,1373,136,65,,,,
44,41132,2013,1,5585,449,96,,,,
45,41206,2013,1,1451,16,38,,,,
46,41244,2013,1,812,22,33,,,,
47,41298,2013,1,13530,880,358,,,,
48,41306,2013,1,6105,118,180,,,,
49,41319,2013,1,4050,136,64,,,,
50,41349,2013,1,1488,0,58,,,,
51,41357,2013,1,2178,126,156,,,,
52,41359,2013,1,5543,45,241,,,,
53,41378,2013,1,3193,29,82,,,,
54,41396,2013,1,13358,322,200,,,,
55,41483,2013,1,1479,113,22,,,,
56,41001,2013,1,,,,,,,
57,41503,2013,1,2515,161,118,,,,
58,41518,2013,1,1384,0,6,,,,
59,41524,2013,1,4932,277,54,,,,
60,41530,2013,1,2476,105,59,,,,
61,41548,2013,1,3090,0,42,,,,
62,41551,2013,1,,,,,,,
63,41615,2013,1,4201,27,11,,,,
64,41660,2013,1,2479,196,94,,,,
65,41668,2013,1,6443,35,128,,,,
66,41676,2013,1,2263,106,111,,,,
67,41770,2013,1,4011,135,34,,,,
68,41791,2013,1,4169,120,136,,,,
69,41799,2013,1,2572,91,62,,,,
70,41801,2013,1,1556,88,47,,,,
71,41797,2013,1,2268,93,38,,,,
72,41807,2013,1,3997,384,113,,,,
73,41872,2013,1,1159,78,17,,,,
74,41885,2013,1,1380,155,40,,,,
75,41006,2012,1,,,,98.2,1.8,1.8,
76,41013,2012,1,,,,99,1,2.6,
77,41016,2012,1,,,,92.8,7.2,8.9,
78,41020,2012,1,,,,93.6,6.4,5.7,
79,41026,2012,1,,,,95,5,0.5,
80,41078,2012,1,,,,98,2,3.2,
81,41132,2012,1,,,,98.3,1.7,1.8,
82,41206,2012,1,,,,96,4,6.8,
83,41244,2012,1,,,,100,0,6.4,
84,41298,2012,1,,,,97.2,2.8,4.9,
85,41306,2012,1,,,,98.1,1.9,2.7,
86,41319,2012,1,,,,96.5,3.5,1.5,
87,41349,2012,1,,,,90.6,9.4,6.5,
88,41357,2012,1,,,,94,6,6.5,
89,41359,2012,1,,,,99,1,8.9,
90,41378,2012,1,,,,92.6,7.4,4.3,
