ddo_codigo,ddo_codMunicipio,ddo_anio,ddo_categoria_directivo_docente,ddo_num_directivo_docente
1,41006,2016,1,9
2,41013,2016,1,3
3,41016,2016,1,4
4,41020,2016,1,6
5,41026,2016,1,1
6,41078,2016,1,3
7,41132,2016,1,5
8,41206,2016,1,5
9,41244,2016,1,1
10,41298,2016,1,13
11,41306,2016,1,7
12,41319,2016,1,3
13,41349,2016,1,1
14,41357,2016,1,4
15,41359,2016,1,7
16,41378,2016,1,5
17,41396,2016,1,18
18,41483,2016,1,4
19,41001,2016,1,37
20,41503,2016,1,3
21,41518,2016,1,1
22,41524,2016,1,7
23,41530,2016,1,5
24,41548,2016,1,5
25,41551,2016,1,16
26,41615,2016,1,4
27,41660,2016,1,2
28,41668,2016,1,9
29,41676,2016,1,4
30,41770,2016,1,7
31,41791,2016,1,6
32,41799,2016,1,4
33,41801,2016,1,3
34,41797,2016,1,4
35,41807,2016,1,6
36,41872,2016,1,3
37,41885,2016,1,1
38,41006,2016,2,
39,41013,2016,2,
40,41016,2016,2,1
41,41020,2016,2,
42,41026,2016,2,
43,41078,2016,2,1
44,41132,2016,2,1
45,41206,2016,2,
46,41244,2016,2,
47,41298,2016,2,1
48,41306,2016,2,
49,41319,2016,2,
50,41349,2016,2,
51,41357,2016,2,
52,41359,2016,2,
53,41378,2016,2,1
54,41396,2016,2,
55,41483,2016,2,
56,41001,2016,2,1
57,41503,2016,2,
58,41518,2016,2,
59,41524,2016,2,
60,41530,2016,2,
61,41548,2016,2,1
62,41551,2016,2,
63,41615,2016,2,
64,41660,2016,2,
65,41668,2016,2,
66,41676,2016,2,
67,41770,2016,2,
68,41791,2016,2,
69,41799,2016,2,
70,41801,2016,2,
71,41797,2016,2,
72,41807,2016,2,
73,41872,2016,2,1
74,41885,2016,2,
75,41006,2016,3,1
76,41013,2016,3,
77,41016,2016,3,1
78,41020,2016,3,
79,41026,2016,3,
80,41078,2016,3,1
81,41132,2016,3,1
82,41206,2016,3,
83,41244,2016,3,
84,41298,2016,3,1
85,41306,2016,3,
86,41319,2016,3,
87,41349,2016,3,
88,41357,2016,3,1
89,41359,2016,3,
90,41378,2016,3,1
91,41396,2016,3,
92,41483,2016,3,
93,41001,2016,3,6
94,41503,2016,3,
95,41518,2016,3,
96,41524,2016,3,
97,41530,2016,3,
98,41548,2016,3,
99,41551,2016,3,
100,41615,2016,3,1
101,41660,2016,3,
102,41668,2016,3,
103,41676,2016,3,
104,41770,2016,3,1
105,41791,2016,3,
106,41799,2016,3,1
107,41801,2016,3,
108,41797,2016,3,
109,41807,2016,3,
110,41872,2016,3,
111,41885,2016,3,
112,41006,2016,4,11
113,41013,2016,4,3
114,41016,2016,4,5
115,41020,2016,4,7
116,41026,2016,4,1
117,41078,2016,4,2
118,41132,2016,4,10
119,41206,2016,4,1
120,41244,2016,4,2
121,41298,2016,4,23
122,41306,2016,4,13
123,41319,2016,4,8
124,41349,2016,4,3
125,41357,2016,4,3
126,41359,2016,4,9
127,41378,2016,4,3
128,41396,2016,4,22
129,41483,2016,4,2
130,41001,2016,4,97
131,41503,2016,4,4
132,41518,2016,4,3
133,41524,2016,4,8
134,41530,2016,4,2
135,41548,2016,4,4
136,41551,2016,4,43
137,41615,2016,4,7
138,41660,2016,4,5
139,41668,2016,4,11
140,41676,2016,4,3
141,41770,2016,4,5
142,41791,2016,4,7
143,41799,2016,4,4
144,41801,2016,4,2
145,41797,2016,4,4
146,41807,2016,4,6
147,41872,2016,4,1
148,41885,2016,4,3
149,41006,2016,5,3
150,41013,2016,5,1
151,41016,2016,5,1
152,41020,2016,5,3
153,41026,2016,5,1
154,41078,2016,5,1
155,41132,2016,5,3
156,41206,2016,5,
157,41244,2016,5,1
158,41298,2016,5,8
159,41306,2016,5,5
160,41319,2016,5,3
161,41349,2016,5,1
162,41357,2016,5,1
163,41359,2016,5,2
164,41378,2016,5,2
165,41396,2016,5,7
166,41483,2016,5,1
167,41001,2016,5,37
168,41503,2016,5,1
169,41518,2016,5,1
170,41524,2016,5,3
171,41530,2016,5,1
172,41548,2016,5,1
173,41551,2016,5,14
174,41615,2016,5,2
175,41660,2016,5,2
176,41668,2016,5,2
177,41676,2016,5,1
178,41770,2016,5,1
179,41791,2016,5,2
180,41799,2016,5,2
181,41801,2016,5,1
182,41797,2016,5,1
183,41807,2016,5,1
184,41872,2016,5,
185,41885,2016,5,1
186,41006,2016,6,303
187,41013,2016,6,96
