educ_codigo,educ_municipio,educ_anio,educ_nivel_educativo,educ_tipo_institucion,educ_grado,educ_area,educ_num_matriculas
1,41006,2016,2,1,,,78
2,41013,2016,2,1,,,19
3,41016,2016,2,1,,,
4,41020,2016,2,1,,,28
5,41026,2016,2,1,,,
6,41078,2016,2,1,,,43
7,41132,2016,2,1,,,87
8,41206,2016,2,1,,,
9,41244,2016,2,1,,,
10,41298,2016,2,1,,,56
11,41306,2016,2,1,,,14
12,41319,2016,2,1,,,
13,41349,2016,2,1,,,
14,41357,2016,2,1,,,
15,41359,2016,2,1,,,
16,41378,2016,2,1,,,
17,41396,2016,2,1,,,306
18,41483,2016,2,1,,,
19,41001,2016,2,1,,,1781
20,41503,2016,2,1,,,
21,41518,2016,2,1,,,
22,41524,2016,2,1,,,
23,41530,2016,2,1,,,
24,41548,2016,2,1,,,
25,41551,2016,2,1,,,57
26,41615,2016,2,1,,,67
27,41660,2016,2,1,,,
28,41668,2016,2,1,,,
29,41676,2016,2,1,,,17
30,41770,2016,2,1,,,41
31,41791,2016,2,1,,,14
32,41799,2016,2,1,,,138
33,41801,2016,2,1,,,
34,41797,2016,2,1,,,
35,41807,2016,2,1,,,91
36,41872,2016,2,1,,,
37,41885,2016,2,1,,,
38,41006,2016,2,2,,,
39,41013,2016,2,2,,,
40,41016,2016,2,2,,,
41,41020,2016,2,2,,,
42,41026,2016,2,2,,,
43,41078,2016,2,2,,,
44,41132,2016,2,2,,,
45,41206,2016,2,2,,,
46,41244,2016,2,2,,,
47,41298,2016,2,2,,,
48,41306,2016,2,2,,,
49,41319,2016,2,2,,,
50,41349,2016,2,2,,,
51,41357,2016,2,2,,,
52,41359,2016,2,2,,,
53,41378,2016,2,2,,,
54,41396,2016,2,2,,,
55,41483,2016,2,2,,,
56,41001,2016,2,2,,,
57,41503,2016,2,2,,,
58,41518,2016,2,2,,,
59,41524,2016,2,2,,,
60,41530,2016,2,2,,,
61,41548,2016,2,2,,,
62,41551,2016,2,2,,,2
63,41615,2016,2,2,,,
64,41660,2016,2,2,,,
65,41668,2016,2,2,,,
66,41676,2016,2,2,,,
67,41770,2016,2,2,,,
68,41791,2016,2,2,,,
69,41799,2016,2,2,,,
70,41801,2016,2,2,,,
71,41797,2016,2,2,,,
72,41807,2016,2,2,,,
73,41872,2016,2,2,,,
74,41885,2016,2,2,,,
75,41006,2016,3,1,,,208
76,41013,2016,3,1,,,148
77,41016,2016,3,1,,,165
78,41020,2016,3,1,,,126
79,41026,2016,3,1,,,
80,41078,2016,3,1,,,23
81,41132,2016,3,1,,,90
82,41206,2016,3,1,,,112
83,41244,2016,3,1,,,
84,41298,2016,3,1,,,555
85,41306,2016,3,1,,,159
86,41319,2016,3,1,,,275
87,41349,2016,3,1,,,33
88,41357,2016,3,1,,,57
89,41359,2016,3,1,,,256
90,41378,2016,3,1,,,120
91,41396,2016,3,1,,,338
92,41483,2016,3,1,,,13
93,41001,2016,3,1,,,2259
94,41503,2016,3,1,,,
95,41518,2016,3,1,,,68
96,41524,2016,3,1,,,40
97,41530,2016,3,1,,,60
98,41548,2016,3,1,,,17
99,41551,2016,3,1,,,930
100,41615,2016,3,1,,,88
101,41660,2016,3,1,,,90
102,41668,2016,3,1,,,174
103,41676,2016,3,1,,,34
104,41770,2016,3,1,,,218
105,41791,2016,3,1,,,145
106,41799,2016,3,1,,,57
107,41801,2016,3,1,,,36
108,41797,2016,3,1,,,53
109,41807,2016,3,1,,,101
110,41872,2016,3,1,,,52
111,41885,2016,3,1,,,30
112,41006,2016,3,2,,,172
113,41013,2016,3,2,,,
114,41016,2016,3,2,,,
115,41020,2016,3,2,,,
116,41026,2016,3,2,,,
117,41078,2016,3,2,,,
118,41132,2016,3,2,,,212
119,41206,2016,3,2,,,
120,41244,2016,3,2,,,
121,41298,2016,3,2,,,91
122,41306,2016,3,2,,,
123,41319,2016,3,2,,,
124,41349,2016,3,2,,,
125,41357,2016,3,2,,,
126,41359,2016,3,2,,,143
127,41378,2016,3,2,,,
128,41396,2016,3,2,,,114
129,41483,2016,3,2,,,
130,41001,2016,3,2,,,892
131,41503,2016,3,2,,,55
132,41518,2016,3,2,,,
133,41524,2016,3,2,,,78
134,41530,2016,3,2,,,
135,41548,2016,3,2,,,
136,41551,2016,3,2,,,490
137,41615,2016,3,2,,,
138,41660,2016,3,2,,,
139,41668,2016,3,2,,,
140,41676,2016,3,2,,,
141,41770,2016,3,2,,,
142,41791,2016,3,2,,,
143,41799,2016,3,2,,,
144,41801,2016,3,2,,,
145,41797,2016,3,2,,,
146,41807,2016,3,2,,,122
147,41872,2016,3,2,,,
148,41885,2016,3,2,,,
149,41006,2016,4,1,,,123
150,41013,2016,4,1,,,63
151,41016,2016,4,1,,,116
152,41020,2016,4,1,,,133
153,41026,2016,4,1,,,
154,41078,2016,4,1,,,14
155,41132,2016,4,1,,,101
156,41206,2016,4,1,,,37
157,41244,2016,4,1,,,
158,41298,2016,4,1,,,445
159,41306,2016,4,1,,,149
160,41319,2016,4,1,,,234
161,41349,2016,4,1,,,17
162,41357,2016,4,1,,,46
163,41359,2016,4,1,,,126
164,41378,2016,4,1,,,80
165,41396,2016,4,1,,,143
166,41483,2016,4,1,,,17
167,41001,2016,4,1,,,1463
168,41503,2016,4,1,,,
169,41518,2016,4,1,,,71
170,41524,2016,4,1,,,40
171,41530,2016,4,1,,,63
172,41548,2016,4,1,,,
173,41551,2016,4,1,,,817
174,41615,2016,4,1,,,75
175,41660,2016,4,1,,,29
176,41668,2016,4,1,,,205
177,41676,2016,4,1,,,79
178,41770,2016,4,1,,,223
179,41791,2016,4,1,,,66
180,41799,2016,4,1,,,34
181,41801,2016,4,1,,,31
182,41797,2016,4,1,,,45
183,41807,2016,4,1,,,60
184,41872,2016,4,1,,,48
185,41885,2016,4,1,,,31
186,41006,2016,4,2,,,112
187,41013,2016,4,2,,,
188,41016,2016,4,2,,,
189,41020,2016,4,2,,,
190,41026,2016,4,2,,,
191,41078,2016,4,2,,,
192,41132,2016,4,2,,,252
193,41206,2016,4,2,,,
194,41244,2016,4,2,,,
195,41298,2016,4,2,,,157
196,41306,2016,4,2,,,
197,41319,2016,4,2,,,
198,41349,2016,4,2,,,
199,41357,2016,4,2,,,
200,41359,2016,4,2,,,117
201,41378,2016,4,2,,,
202,41396,2016,4,2,,,238
203,41483,2016,4,2,,,
204,41001,2016,4,2,,,1232
205,41503,2016,4,2,,,37
206,41518,2016,4,2,,,
207,41524,2016,4,2,,,125
208,41530,2016,4,2,,,
209,41548,2016,4,2,,,
210,41551,2016,4,2,,,665
211,41615,2016,4,2,,,
212,41660,2016,4,2,,,
213,41668,2016,4,2,,,
214,41676,2016,4,2,,,
215,41770,2016,4,2,,,
216,41791,2016,4,2,,,
217,41799,2016,4,2,,,
218,41801,2016,4,2,,,
219,41797,2016,4,2,,,
220,41807,2016,4,2,,,134
221,41872,2016,4,2,,,
222,41885,2016,4,2,,,7
223,41006,2014,2,1,,,20
224,41013,2014,2,1,,,17
225,41016,2014,2,1,,,26
226,41020,2014,2,1,,,25
227,41026,2014,2,1,,,0
228,41078,2014,2,1,,,0
229,41132,2014,2,1,,,0
230,41206,2014,2,1,,,20
231,41244,2014,2,1,,,0
232,41298,2014,2,1,,,191
233,41306,2014,2,1,,,0
234,41319,2014,2,1,,,34
235,41349,2014,2,1,,,0
236,41357,2014,2,1,,,23
237,41359,2014,2,1,,,178
238,41378,2014,2,1,,,0
239,41396,2014,2,1,,,114
240,41483,2014,2,1,,,0
241,41001,2014,2,1,,,359
242,41503,2014,2,1,,,0
243,41518,2014,2,1,,,0
244,41524,2014,2,1,,,0
245,41530,2014,2,1,,,151
246,41548,2014,2,1,,,0
247,41551,2014,2,1,,,2578
248,41615,2014,2,1,,,172
249,41660,2014,2,1,,,37
250,41668,2014,2,1,,,286
251,41676,2014,2,1,,,0
252,41770,2014,2,1,,,0
253,41791,2014,2,1,,,19
254,41799,2014,2,1,,,18
255,41801,2014,2,1,,,0
256,41797,2014,2,1,,,0
257,41807,2014,2,1,,,0
258,41872,2014,2,1,,,0
259,41885,2014,2,1,,,0
260,41006,2014,2,2,,,0
261,41013,2014,2,2,,,0
262,41016,2014,2,2,,,0
263,41020,2014,2,2,,,0
264,41026,2014,2,2,,,0
265,41078,2014,2,2,,,0
266,41132,2014,2,2,,,0
267,41206,2014,2,2,,,0
268,41244,2014,2,2,,,0
269,41298,2014,2,2,,,1
270,41306,2014,2,2,,,0
271,41319,2014,2,2,,,0
272,41349,2014,2,2,,,0
273,41357,2014,2,2,,,0
274,41359,2014,2,2,,,0
275,41378,2014,2,2,,,0
276,41396,2014,2,2,,,0
277,41483,2014,2,2,,,0
278,41001,2014,2,2,,,1
279,41503,2014,2,2,,,0
280,41518,2014,2,2,,,0
281,41524,2014,2,2,,,0
282,41530,2014,2,2,,,0
283,41548,2014,2,2,,,0
284,41551,2014,2,2,,,0
285,41615,2014,2,2,,,0
286,41660,2014,2,2,,,0
287,41668,2014,2,2,,,0
288,41676,2014,2,2,,,0
289,41770,2014,2,2,,,0
290,41791,2014,2,2,,,0
291,41799,2014,2,2,,,0
292,41801,2014,2,2,,,0
293,41797,2014,2,2,,,0
294,41807,2014,2,2,,,0
295,41872,2014,2,2,,,0
296,41885,2014,2,2,,,0
297,41006,2014,3,1,,,379
298,41013,2014,3,1,,,82
299,41016,2014,3,1,,,125
300,41020,2014,3,1,,,197
301,41026,2014,3,1,,,0
302,41078,2014,3,1,,,41
303,41132,2014,3,1,,,189
304,41206,2014,3,1,,,64
305,41244,2014,3,1,,,0
