ice_codigo,ice_anio,ice_linea_credito,ice_estado_credito,ice_num_creditos,ice_valor_credito
201411,2014,1,1,878,2049898181
201421,2014,2,1,46,78611975
201431,2014,3,1,46,59119030
201441,2014,4,1,16,90484228
201451,2014,5,1,28,141694724
201461,2014,6,1,7,92000720
201471,2014,7,1,28,134910857
201481,2014,8,1,14,218056080
201491,2014,9,1,0,0
2014101,2014,10,1,0,0
2014111,2014,11,1,22,80518800
2014121,2014,12,1,28,40512000
2014131,2014,13,1,1,16171920
2014141,2014,14,1,100,559744244
2014151,2014,15,1,0,0
2014161,2014,16,1,184,478253557
2014171,2014,17,1,0,0
2014181,2014,18,1,0,0
2014191,2014,19,1,2,7776686
2014201,2014,20,1,0,0
201412,2014,1,2,3268,8111327878
201422,2014,2,2,743,1612718548
201432,2014,3,2,528,748834387
201442,2014,4,2,61,285823760
201452,2014,5,2,24,60508846
201462,2014,6,2,10,110398080
201472,2014,7,2,0,0
201482,2014,8,2,0,0
201492,2014,9,2,2,3227864
2014102,2014,10,2,3,7782432
2014112,2014,11,2,60,205602914
2014122,2014,12,2,0,0
2014132,2014,13,2,0,0
2014142,2014,14,2,163,1051943258
2014152,2014,15,2,31,214012950
2014162,2014,16,2,772,2124667375.2
2014172,2014,17,2,2,2482200
2014182,2014,18,2,0,0
2014192,2014,19,2,8,16514288
2014202,2014,20,2,0,0
201311,2013,1,1,582,1341611475
201321,2013,2,1,198,357456018
201331,2013,3,1,121,144695824
201341,2013,4,1,18,117856452
201351,2013,5,1,29,146992560
201361,2013,6,1,10,119636240
201371,2013,7,1,23,138566408
201381,2013,8,1,11,145606770
201391,2013,9,1,0,0
2013101,2013,10,1,1,873000
2013111,2013,11,1,33,111909040
2013121,2013,12,1,20,29600000
2013131,2013,13,1,4,45967225
2013141,2013,14,1,95,609650454
2013151,2013,15,1,28,184793242
2013161,2013,16,1,190,479368412
2013171,2013,17,1,0,0
2013181,2013,18,1,0,0
2013191,2013,19,1,3,2555804
2013201,2013,20,1,1,2947500
201312,2013,1,2,3027,6883301735
201322,2013,2,2,886,1790339282
201332,2013,3,2,489,614618046
201342,2013,4,2,48,184176511
201352,2013,5,2,19,33734400
201362,2013,6,2,8,73282560
201372,2013,7,2,0,0
201382,2013,8,2,0,0
201392,2013,9,2,2,2385444
2013102,2013,10,2,2,3900000
2013112,2013,11,2,53,184691252
2013122,2013,12,2,0,0
2013132,2013,13,2,0,0
2013142,2013,14,2,97,678378669
2013152,2013,15,2,68,388547875
2013162,2013,16,2,779,1996298980
2013172,2013,17,2,4,5153510
2013182,2013,18,2,0,0
2013192,2013,19,2,4,3940932
2013202,2013,20,2,0,0
201211,2012,1,1,825,1651243955
201221,2012,2,1,68,111415778
201231,2012,3,1,171,209496899
201241,2012,4,1,13,77764989
201251,2012,5,1,25,126579936
201261,2012,6,1,9,129036000
201271,2012,7,1,7,99762872
201281,2012,8,1,8,115154880
201291,2012,9,1,0,0
2012101,2012,10,1,0,0
2012111,2012,11,1,17,69211952
2012121,2012,12,1,24,41771868
2012131,2012,13,1,0,0
2012141,2012,14,1,61,342752889
2012151,2012,15,1,54,319753933
2012161,2012,16,1,198,457106922
2012171,2012,17,1,0,0
2012181,2012,18,1,0,0
2012191,2012,19,1,0,0
2012201,2012,20,1,0,0
201212,2012,1,2,1533,2988694997
201222,2012,2,2,530,911909703
201232,2012,3,2,197,182229912
201242,2012,4,2,14,50106654
201252,2012,5,2,6,8970800
201262,2012,6,2,8,113566600
201272,2012,7,2,0,0
201282,2012,8,2,0,0
201292,2012,9,2,1,882000
2012102,2012,10,2,1,1797000
2012112,2012,11,2,17,70275134
2012122,2012,12,2,3,4129700
2012132,2012,13,2,0,0
2012142,2012,14,2,53,324750837
2012152,2012,15,2,37,162789747
2012162,2012,16,2,397,854844120
2012172,2012,17,2,5,5809802
2012182,2012,18,2,0,0
2012192,2012,19,2,0,0
2012202,2012,20,2,0,0
201111,2011,1,1,713,1388521022
201121,2011,2,1,126,216363011
201131,2011,3,1,161,171881480
201141,2011,4,1,8,38618285
201151,2011,5,1,14,69309982
201161,2011,6,1,7,106364080
201171,2011,7,1,12,167790676
201181,2011,8,1,6,77845006
201191,2011,9,1,1,923200
2011101,2011,10,1,1,1661400
2011111,2011,11,1,16,61651964
2011121,2011,12,1,51,75553100
2011131,2011,13,1,2,28577040
2011141,2011,14,1,66,379085647
2011151,2011,15,1,73,317094519
2011161,2011,16,1,214,495128974
2011171,2011,17,1,0,0
2011181,2011,18,1,0,0
201112,2011,1,2,1556,2761641086
201122,2011,2,2,592,897146897
201132,2011,3,2,220,219034962
201142,2011,4,2,1,2952000
201152,2011,5,2,3,9927080
201162,2011,6,2,0,0
201172,2011,7,2,0,0
201182,2011,8,2,0,0
201192,2011,9,2,1,1020000
2011102,2011,10,2,1,1719600
2011112,2011,11,2,17,51631496
2011122,2011,12,2,0,0
2011132,2011,13,2,0,0
2011142,2011,14,2,58,299201865
2011152,2011,15,2,32,133163210
2011162,2011,16,2,308,715423597
2011172,2011,17,2,6,7581614
2011182,2011,18,2,2,8127000
