icf_codigo,icf_anio,icf_alcance,icf_semestre,icf_materias,icf_puntaje_prom,icf_desviacion_est
1,2011,1,,1,44.7913476738,9.79861729
2,2011,1,,2,44.2496618594,6.8928640104
3,2011,1,,3,43.701286564,8.5543387925
4,2011,1,,4,44.4906990956,8.6416515929
5,2011,1,,5,39.0278970097,10.4197824493
6,2011,1,,6,42.7028534181,6.6374578343
7,2011,1,,7,45.0567008881,9.2275914609
8,2011,1,,8,43.5823107635,8.5091338711
9,2012,1,,1,44.9217238646,9.4414060395
10,2012,1,,2,45.1151327574,5.2088911786
11,2012,1,,3,44.0127312356,6.9344027899
12,2012,1,,4,44.6971776175,6.8039034636
13,2012,1,,5,39.7781604185,7.9596171832
14,2012,1,,6,43.3346255053,7.3235444242
15,2012,1,,7,45.8740596021,5.9995395102
16,2012,1,,8,43.7773694222,7.5946136165
17,2013,1,,1,44.1390527144,8.5506349331
18,2013,1,,2,44.2247096774,6.9031738788
19,2013,1,,3,43.5232140047,9.2689826908
20,2013,1,,4,43.9292029898,6.627411487
21,2013,1,,5,39.1070401259,8.1137592447
22,2013,1,,6,43.9734146341,7.159104642
23,2013,1,,7,46.4600786782,6.4869535799
24,2013,1,,8,43.7496357199,6.7149370574
25,2014,1,1,1,47.7538882421,8.1770314319
26,2014,1,1,2,45.3464726426,6.7735389988
27,2014,1,1,3,43.1736554133,9.7102328289
28,2014,1,1,4,44.7851105937,6.6361117579
29,2014,1,1,5,41.5568917346,7.4680209546
30,2014,1,1,6,50.66887078,8.7405937136
31,2014,1,1,7,48.5138300349,6.9367287544
32,2014,1,1,8,45.0750873108,8.2317229336
33,2014,1,2,1,48.8941233303,7.7808770898
34,2014,1,2,6,49.2243005965,6.744979417
35,2014,1,2,9,48.7388347475,7.94790557
36,2014,1,2,8,48.9576577333,8.3385028984
37,2014,1,2,10,49.0000924137,7.8004965135
38,2014,1,2,11,49.0718062673,8.343439469
39,2014,1,2,12,48.9658153407,8.4191598757
40,2011,2,,1,44.4893255132,10.0213489736
41,2011,2,,2,44.2588269795,6.9292961877
42,2011,2,,3,43.9209090909,8.5349853372
43,2011,2,,4,43.7642228739,8.9071847507
44,2011,2,,5,38.1641642229,10.74228739
45,2011,2,,6,41.3961290323,6.276568915
46,2011,2,,7,44.2009090909,9.6541642229
47,2011,2,,8,42.4997360704,8.4536363636
48,2012,2,,1,44.8491452991,9.4952421652
49,2012,2,,2,45.2917378917,5.2512250712
50,2012,2,,3,43.8504273504,6.8055840456
51,2012,2,,4,44.8087179487,6.8256695157
52,2012,2,,5,39.4473219373,7.7494017094
53,2012,2,,6,42.0932193732,6.7305698006
54,2012,2,,7,45.386951567,5.9269230769
55,2012,2,,8,43.909031339,7.4543589744
56,2013,2,,1,43.9977272727,8.4454848485
57,2013,2,,2,44.6496666667,7.036030303
58,2013,2,,3,43.7607575758,9.3406060606
59,2013,2,,4,44.0377575758,6.7838787879
60,2013,2,,5,38.7154242424,8.1229090909
61,2013,2,,6,42.9206060606,6.6924848485
62,2013,2,,7,46.3423030303,6.389969697
63,2013,2,,8,44.0004545455,6.8568181818
64,2014,2,1,1,43.0754545455,6.9372727273
65,2014,2,1,2,39.6072727273,6.1527272727
66,2014,2,1,3,36.1327272727,9.0336363636
67,2014,2,1,4,40.4809090909,5.8845454545
68,2014,2,1,5,34.8027272727,7.6572727273
69,2014,2,1,6,39.4818181818,6.2636363636
70,2014,2,1,7,42.9763636364,7.7272727273
71,2014,2,1,8,38.3563636364,8.1245454545
72,2014,2,2,1,49.3672886297,7.7394460641
73,2014,2,2,6,48.5942565598,6.2144606414
74,2014,2,2,9,48.5723906706,7.9055102041
75,2014,2,2,8,48.8813994169,8.3311953353
76,2014,2,2,10,49.5558892128,7.7277842566
77,2014,2,2,11,49.4137317784,8.2358892128
78,2014,2,2,12,48.9553061224,8.4355976676
