mat_codigo,mat_codMunicipio,mat_anio,mat_tipo_institucion,mat_tipo_nivel_educativo,mat_grado,mat_area,mat_num_matriculas
1,41006,2015,1,1,1,1,101
2,41013,2015,1,1,1,1,82
3,41016,2015,1,1,1,1,202
4,41020,2015,1,1,1,1,139
5,41026,2015,1,1,1,1,37
6,41078,2015,1,1,1,1,54
7,41132,2015,1,1,1,1,311
8,41206,2015,1,1,1,1,48
9,41244,2015,1,1,1,1,24
10,41298,2015,1,1,1,1,461
11,41306,2015,1,1,1,1,114
12,41319,2015,1,1,1,1,89
13,41349,2015,1,1,1,1,103
14,41357,2015,1,1,1,1,39
15,41359,2015,1,1,1,1,118
16,41378,2015,1,1,1,1,93
17,41396,2015,1,1,1,1,415
18,41483,2015,1,1,1,1,40
19,41001,2015,1,1,1,1,3317
20,41503,2015,1,1,1,1,55
21,41518,2015,1,1,1,1,44
22,41524,2015,1,1,1,1,145
23,41530,2015,1,1,1,1,45
24,41548,2015,1,1,1,1,69
25,41551,2015,1,1,1,1,1049
26,41615,2015,1,1,1,1,146
27,41660,2015,1,1,1,1,58
28,41668,2015,1,1,1,1,183
29,41676,2015,1,1,1,1,53
30,41770,2015,1,1,1,1,64
31,41791,2015,1,1,1,1,71
32,41799,2015,1,1,1,1,58
33,41801,2015,1,1,1,1,44
34,41797,2015,1,1,1,1,103
35,41807,2015,1,1,1,1,100
36,41872,2015,1,1,1,1,33
37,41885,2015,1,1,1,1,73
38,41006,2015,1,1,1,2,445
39,41013,2015,1,1,1,2,32
40,41016,2015,1,1,1,2,75
41,41020,2015,1,1,1,2,221
42,41026,2015,1,1,1,2,3
43,41078,2015,1,1,1,2,45
44,41132,2015,1,1,1,2,74
45,41206,2015,1,1,1,2,69
46,41244,2015,1,1,1,2,21
47,41298,2015,1,1,1,2,517
48,41306,2015,1,1,1,2,224
49,41319,2015,1,1,1,2,131
50,41349,2015,1,1,1,2,15
51,41357,2015,1,1,1,2,122
52,41359,2015,1,1,1,2,188
53,41378,2015,1,1,1,2,121
54,41396,2015,1,1,1,2,597
55,41483,2015,1,1,1,2,86
56,41001,2015,1,1,1,2,392
57,41503,2015,1,1,1,2,181
58,41518,2015,1,1,1,2,46
59,41524,2015,1,1,1,2,180
60,41530,2015,1,1,1,2,186
61,41548,2015,1,1,1,2,157
62,41551,2015,1,1,1,2,854
63,41615,2015,1,1,1,2,97
64,41660,2015,1,1,1,2,188
65,41668,2015,1,1,1,2,319
66,41676,2015,1,1,1,2,46
67,41770,2015,1,1,1,2,260
68,41791,2015,1,1,1,2,191
69,41799,2015,1,1,1,2,132
70,41801,2015,1,1,1,2,60
71,41797,2015,1,1,1,2,46
72,41807,2015,1,1,1,2,176
73,41872,2015,1,1,1,2,59
74,41885,2015,1,1,1,2,6
75,41006,2015,2,1,1,1,0
76,41013,2015,2,1,1,1,0
77,41016,2015,2,1,1,1,0
78,41020,2015,2,1,1,1,12
79,41026,2015,2,1,1,1,0
80,41078,2015,2,1,1,1,0
81,41132,2015,2,1,1,1,115
82,41206,2015,2,1,1,1,0
83,41244,2015,2,1,1,1,0
84,41298,2015,2,1,1,1,308
85,41306,2015,2,1,1,1,0
86,41319,2015,2,1,1,1,0
87,41349,2015,2,1,1,1,0
88,41357,2015,2,1,1,1,0
89,41359,2015,2,1,1,1,0
90,41378,2015,2,1,1,1,23
91,41396,2015,2,1,1,1,93
92,41483,2015,2,1,1,1,0
93,41001,2015,2,1,1,1,4200
94,41503,2015,2,1,1,1,0
95,41518,2015,2,1,1,1,0
96,41524,2015,2,1,1,1,91
97,41530,2015,2,1,1,1,0
98,41548,2015,2,1,1,1,21
99,41551,2015,2,1,1,1,331
100,41615,2015,2,1,1,1,91
