matu_codigo,matu_anio,matu_departamento,matu_codMunicipio,matu_genero,matu_tipo_nivel_educacion_superior,matu_programa,matu_semestre,matu_num_matricula
1,2014,41,41006,,5,1,1,0
2,2014,41,41006,,5,2,1,1
3,2014,41,41006,,5,6,1,2
4,2014,41,41006,,5,7,1,2
5,2014,41,41006,,5,88,1,0
6,2014,41,41006,,5,14,1,0
7,2014,41,41006,,5,13,1,0
8,2014,41,41006,,5,34,1,2
9,2014,41,41006,,5,15,1,5
10,2014,41,41006,,5,20,1,0
11,2014,41,41006,,5,19,1,0
12,2014,41,41006,,5,21,1,0
13,2014,41,41006,,5,22,1,0
14,2014,41,41006,,5,29,1,1
15,2014,41,41006,,5,27,1,1
16,2014,41,41006,,5,31,1,0
17,2014,41,41006,,5,32,1,3
18,2014,41,41006,,5,28,1,0
19,2014,41,41006,,5,30,1,1
20,2014,41,41006,,5,39,1,0
21,2014,41,41006,,5,33,1,0
22,2014,41,41006,,5,35,1,0
23,2014,41,41006,,5,40,1,0
24,2014,41,41006,,5,41,1,0
25,2014,41,41006,,5,42,1,2
26,2014,41,41006,,5,38,1,0
27,2014,41,41006,,5,25,1,0
28,2014,41,41006,,5,23,1,0
29,2014,41,41006,,5,37,1,0
30,2014,41,41006,,5,11,1,0
31,2014,41,41006,,5,12,1,0
32,2014,41,41013,,5,1,1,0
33,2014,41,41013,,5,2,1,3
34,2014,41,41013,,5,6,1,0
35,2014,41,41013,,5,7,1,2
36,2014,41,41013,,5,88,1,0
37,2014,41,41013,,5,14,1,0
38,2014,41,41013,,5,13,1,0
39,2014,41,41013,,5,34,1,1
40,2014,41,41013,,5,15,1,3
41,2014,41,41013,,5,20,1,0
42,2014,41,41013,,5,19,1,2
43,2014,41,41013,,5,21,1,0
44,2014,41,41013,,5,22,1,0
45,2014,41,41013,,5,29,1,0
46,2014,41,41013,,5,27,1,0
47,2014,41,41013,,5,31,1,0
48,2014,41,41013,,5,32,1,1
49,2014,41,41013,,5,28,1,1
50,2014,41,41013,,5,30,1,0
51,2014,41,41013,,5,39,1,0
52,2014,41,41013,,5,33,1,1
53,2014,41,41013,,5,35,1,0
54,2014,41,41013,,5,40,1,0
55,2014,41,41013,,5,41,1,0
56,2014,41,41013,,5,42,1,1
57,2014,41,41013,,5,38,1,0
58,2014,41,41013,,5,25,1,0
59,2014,41,41013,,5,23,1,0
60,2014,41,41013,,5,37,1,0
61,2014,41,41013,,5,11,1,0
62,2014,41,41013,,5,12,1,1
63,2014,41,41016,,5,1,1,1
64,2014,41,41016,,5,2,1,2
65,2014,41,41016,,5,6,1,3
66,2014,41,41016,,5,7,1,4
67,2014,41,41016,,5,88,1,4
68,2014,41,41016,,5,14,1,2
69,2014,41,41016,,5,13,1,1
70,2014,41,41016,,5,34,1,2
71,2014,41,41016,,5,15,1,3
72,2014,41,41016,,5,20,1,0
73,2014,41,41016,,5,19,1,2
74,2014,41,41016,,5,21,1,4
75,2014,41,41016,,5,22,1,1
76,2014,41,41016,,5,29,1,2
77,2014,41,41016,,5,27,1,1
78,2014,41,41016,,5,31,1,1
79,2014,41,41016,,5,32,1,3
80,2014,41,41016,,5,28,1,0
81,2014,41,41016,,5,30,1,3
82,2014,41,41016,,5,39,1,1
83,2014,41,41016,,5,33,1,2
84,2014,41,41016,,5,35,1,3
85,2014,41,41016,,5,40,1,2
86,2014,41,41016,,5,41,1,1
87,2014,41,41016,,5,42,1,2
88,2014,41,41016,,5,38,1,0
89,2014,41,41016,,5,25,1,2
90,2014,41,41016,,5,23,1,0
91,2014,41,41016,,5,37,1,5
92,2014,41,41016,,5,11,1,0
93,2014,41,41016,,5,12,1,3
94,2014,41,41020,,5,1,1,5
95,2014,41,41020,,5,2,1,0
96,2014,41,41020,,5,6,1,6
97,2014,41,41020,,5,7,1,4
