pna_codigo,pna_municipio,pna_anio,pna_tipo_dato,pna_ciclo,pna_area,pna_numero
1,41006,2011,1,1,,141
2,41013,2011,1,1,,0
3,41016,2011,1,1,,0
4,41020,2011,1,1,,101
5,41026,2011,1,1,,23
6,41078,2011,1,1,,24
7,41132,2011,1,1,,0
8,41206,2011,1,1,,25
9,41244,2011,1,1,,0
10,41298,2011,1,1,,25
11,41306,2011,1,1,,0
12,41319,2011,1,1,,0
13,41349,2011,1,1,,54
14,41357,2011,1,1,,0
15,41359,2011,1,1,,0
16,41378,2011,1,1,,27
17,41396,2011,1,1,,229
18,41483,2011,1,1,,25
19,41001,2011,1,1,,0
20,41503,2011,1,1,,25
21,41518,2011,1,1,,123
22,41524,2011,1,1,,25
23,41530,2011,1,1,,0
24,41548,2011,1,1,,0
25,41551,2011,1,1,,0
26,41615,2011,1,1,,0
27,41660,2011,1,1,,23
28,41668,2011,1,1,,0
29,41676,2011,1,1,,0
30,41770,2011,1,1,,33
31,41791,2011,1,1,,25
32,41799,2011,1,1,,24
33,41801,2011,1,1,,0
34,41797,2011,1,1,,40
35,41807,2011,1,1,,0
36,41872,2011,1,1,,24
37,41885,2011,1,1,,0
38,41006,2011,1,2,,0
39,41013,2011,1,2,,0
40,41016,2011,1,2,,0
41,41020,2011,1,2,,0
42,41026,2011,1,2,,0
43,41078,2011,1,2,,0
44,41132,2011,1,2,,0
45,41206,2011,1,2,,0
46,41244,2011,1,2,,0
47,41298,2011,1,2,,0
48,41306,2011,1,2,,0
49,41319,2011,1,2,,0
50,41349,2011,1,2,,0
51,41357,2011,1,2,,0
52,41359,2011,1,2,,0
53,41378,2011,1,2,,0
54,41396,2011,1,2,,0
55,41483,2011,1,2,,0
56,41001,2011,1,2,,0
57,41503,2011,1,2,,0
58,41518,2011,1,2,,0
59,41524,2011,1,2,,0
60,41530,2011,1,2,,0
61,41548,2011,1,2,,0
62,41551,2011,1,2,,0
63,41615,2011,1,2,,0
64,41660,2011,1,2,,0
65,41668,2011,1,2,,0
66,41676,2011,1,2,,0
67,41770,2011,1,2,,0
68,41791,2011,1,2,,0
69,41799,2011,1,2,,0
70,41801,2011,1,2,,0
71,41797,2011,1,2,,0
72,41807,2011,1,2,,0
73,41872,2011,1,2,,0
74,41885,2011,1,2,,0
75,41006,2011,2,,1,3
76,41013,2011,2,,1,0
77,41016,2011,2,,1,0
78,41020,2011,2,,1,4
79,41026,2011,2,,1,1
80,41078,2011,2,,1,1
81,41132,2011,2,,1,0
82,41206,2011,2,,1,0
83,41244,2011,2,,1,0
84,41298,2011,2,,1,0
85,41306,2011,2,,1,0
86,41319,2011,2,,1,0
87,41349,2011,2,,1,2
88,41357,2011,2,,1,0
89,41359,2011,2,,1,0
90,41378,2011,2,,1,1
91,41396,2011,2,,1,6
92,41483,2011,2,,1,1
93,41001,2011,2,,1,0
94,41503,2011,2,,1,1
95,41518,2011,2,,1,2
96,41524,2011,2,,1,0
97,41530,2011,2,,1,0
98,41548,2011,2,,1,0
99,41551,2011,2,,1,0
100,41615,2011,2,,1,0
101,41660,2011,2,,1,1
102,41668,2011,2,,1,0
