runi_codigo,runi_anio,runi_universidad,runi_semestre,runi_nivel_educacion_superior,runi_programa,runi_categoria_registro,runi_genero,runi_num_personas
1,2014,1,1,5,,1,1,1832
2,2014,1,1,6,,1,1,325
3,2014,1,1,5,,1,2,2053
4,2014,1,1,6,,1,2,385
5,2014,1,2,5,,1,1,1628
6,2014,1,2,6,,1,1,107
7,2014,1,2,5,,1,2,1762
8,2014,1,2,6,,1,2,81
9,2014,1,1,5,,2,1,758
10,2014,1,1,6,,2,1,129
11,2014,1,1,5,,2,2,726
12,2014,1,1,6,,2,2,108
13,2014,1,2,5,,2,1,645
14,2014,1,2,6,,2,1,77
15,2014,1,2,5,,2,2,713
16,2014,1,2,6,,2,2,53
17,2014,1,1,5,,3,1,4987
18,2014,1,1,6,,3,1,281
19,2014,1,1,5,,3,2,4843
20,2014,1,1,6,,3,2,302
21,2014,1,2,5,,3,1,4999
22,2014,1,2,6,,3,1,328
23,2014,1,2,5,,3,2,4963
24,2014,1,2,6,,3,2,282
25,2014,1,1,5,,4,1,385
26,2014,1,1,6,,4,1,173
27,2014,1,1,5,,4,2,305
28,2014,1,1,6,,4,2,67
29,2014,1,2,5,,4,1,361
30,2014,1,2,6,,4,1,42
31,2014,1,2,5,,4,2,275
32,2014,1,2,6,,4,2,6
33,2014,1,1,5,,5,1,307
34,2014,1,1,6,,5,1,194
35,2014,1,1,5,,5,2,240
36,2014,1,1,6,,5,2,812
37,2014,1,2,5,,5,1,400
38,2014,1,2,6,,5,1,180
39,2014,1,2,5,,5,2,304
40,2014,1,2,6,,5,2,78
41,2014,2,1,5,1,1,1,1
42,2014,2,1,5,6,1,1,4
43,2014,2,1,5,44,1,1,70
44,2014,2,1,5,41,1,1,122
45,2014,2,1,5,45,1,1,93
46,2014,2,1,5,34,1,1,12
47,2014,2,1,5,20,1,1,51
48,2014,2,1,5,35,1,1,0
49,2014,2,1,5,76,1,1,0
50,2014,2,1,5,49,1,1,31
51,2014,2,1,6,48,1,1,6
52,2014,2,1,5,1,1,2,3
53,2014,2,1,5,6,1,2,18
54,2014,2,1,5,44,1,2,27
55,2014,2,1,5,41,1,2,119
56,2014,2,1,5,45,1,2,72
57,2014,2,1,5,34,1,2,42
58,2014,2,1,5,20,1,2,19
59,2014,2,1,5,35,1,2,0
60,2014,2,1,5,76,1,2,1
61,2014,2,1,5,49,1,2,51
62,2014,2,1,6,48,1,2,20
63,2014,2,1,5,1,2,1,1
64,2014,2,1,5,6,2,1,5
65,2014,2,1,5,44,2,1,53
66,2014,2,1,5,41,2,1,109
67,2014,2,1,5,45,2,1,92
68,2014,2,1,5,34,2,1,9
69,2014,2,1,5,20,2,1,80
70,2014,2,1,5,35,2,1,0
71,2014,2,1,5,76,2,1,14
72,2014,2,1,5,49,2,1,0
73,2014,2,1,6,48,2,1,7
74,2014,2,1,5,1,2,2,2
75,2014,2,1,5,6,2,2,16
76,2014,2,1,5,44,2,2,24
77,2014,2,1,5,41,2,2,110
78,2014,2,1,5,45,2,2,69
79,2014,2,1,5,34,2,2,59
80,2014,2,1,5,20,2,2,34
81,2014,2,1,5,35,2,2,0
82,2014,2,1,5,76,2,2,1
83,2014,2,1,5,49,2,2,0
84,2014,2,1,6,48,2,2,18
85,2014,2,1,5,1,3,1,0
86,2014,2,1,5,6,3,1,0
87,2014,2,1,5,44,3,1,26
88,2014,2,1,5,41,3,1,60
89,2014,2,1,5,45,3,1,40
90,2014,2,1,5,34,3,1,9
91,2014,2,1,5,20,3,1,33
92,2014,2,1,5,35,3,1,0
93,2014,2,1,5,76,3,1,0
94,2014,2,1,5,49,3,1,13
95,2014,2,1,6,48,3,1,5
96,2014,2,1,5,1,3,2,0
97,2014,2,1,5,6,3,2,0
98,2014,2,1,5,44,3,2,15
99,2014,2,1,5,41,3,2,57
100,2014,2,1,5,45,3,2,51
101,2014,2,1,5,34,3,2,30
102,2014,2,1,5,20,3,2,11
103,2014,2,1,5,35,3,2,0
104,2014,2,1,5,76,3,2,0
105,2014,2,1,5,49,3,2,17
106,2014,2,1,6,48,3,2,17
107,2014,2,1,5,1,4,1,0
108,2014,2,1,5,6,4,1,0
109,2014,2,1,5,44,4,1,29
110,2014,2,1,5,41,4,1,50
111,2014,2,1,5,45,4,1,51
112,2014,2,1,5,34,4,1,6
113,2014,2,1,5,20,4,1,38
114,2014,2,1,5,35,4,1,0
115,2014,2,1,5,76,4,1,0
116,2014,2,1,5,49,4,1,0
117,2014,2,1,6,48,4,1,7
118,2014,2,1,5,1,4,2,0
119,2014,2,1,5,6,4,2,0
120,2014,2,1,5,44,4,2,12
121,2014,2,1,5,41,4,2,48
122,2014,2,1,5,45,4,2,31
123,2014,2,1,5,34,4,2,37
124,2014,2,1,5,20,4,2,22
125,2014,2,1,5,35,4,2,0
126,2014,2,1,5,76,4,2,0
127,2014,2,1,5,49,4,2,0
128,2014,2,1,6,48,4,2,15
129,2014,2,1,5,1,5,1,12
130,2014,2,1,5,6,5,1,36
131,2014,2,1,5,44,5,1,139
132,2014,2,1,5,41,5,1,496
133,2014,2,1,5,45,5,1,473
134,2014,2,1,5,34,5,1,33
135,2014,2,1,5,20,5,1,106
136,2014,2,1,5,35,5,1,0
137,2014,2,1,5,76,5,1,7
138,2014,2,1,5,49,5,1,13
139,2014,2,1,6,48,5,1,8
140,2014,2,1,5,1,5,2,12
141,2014,2,1,5,6,5,2,79
142,2014,2,1,5,44,5,2,46
143,2014,2,1,5,41,5,2,639
144,2014,2,1,5,45,5,2,352
145,2014,2,1,5,34,5,2,232
146,2014,2,1,5,20,5,2,37
147,2014,2,1,5,35,5,2,0
148,2014,2,1,5,76,5,2,0
149,2014,2,1,5,49,5,2,19
150,2014,2,1,6,48,5,2,40
151,2014,2,2,5,1,1,1,12
152,2014,2,2,5,6,1,1,30
153,2014,2,2,5,44,1,1,127
154,2014,2,2,5,41,1,1,511
155,2014,2,2,5,45,1,1,460
156,2014,2,2,5,34,1,1,33
157,2014,2,2,5,20,1,1,114
158,2014,2,2,5,35,1,1,0
159,2014,2,2,5,76,1,1,8
160,2014,2,2,5,49,1,1,12
161,2014,2,2,6,48,1,1,12
162,2014,2,2,5,1,1,2,11
163,2014,2,2,5,6,1,2,70
164,2014,2,2,5,44,1,2,47
165,2014,2,2,5,41,1,2,626
166,2014,2,2,5,45,1,2,349
167,2014,2,2,5,34,1,2,236
168,2014,2,2,5,20,1,2,54
169,2014,2,2,5,35,1,2,0
170,2014,2,2,5,76,1,2,0
171,2014,2,2,5,49,1,2,15
172,2014,2,2,6,48,1,2,30
