sen_codigo,sen_anio,sen_codMunicipio,sen_sector_economico,sen_nivel_formacion_sena,sen_num_cursos,sen_num_aprendicesHombres,sen_num_aprendicesMujeres
1,2014,41006,1,2,,,
2,2014,41006,1,7,,,
3,2014,41006,3,2,,,
4,2014,41006,7,2,,,
5,2014,41006,8,2,,,
6,2014,41006,11,2,,,
7,2014,41006,11,7,,,
8,2014,41006,12,2,,,
9,2014,41006,13,2,,,
10,2014,41006,13,7,,,
11,2014,41013,1,2,,,
12,2014,41013,5,7,,,
13,2014,41013,8,2,,,
14,2014,41013,8,9,,,
15,2014,41013,11,2,,,
16,2014,41013,13,7,,,
17,2014,41016,1,2,,,
18,2014,41016,1,7,,,
19,2014,41016,2,2,,,
20,2014,41016,3,2,,,
21,2014,41016,4,2,,,
22,2014,41016,5,2,,,
23,2014,41016,5,7,,,
24,2014,41016,7,2,,,
25,2014,41016,8,2,,,
26,2014,41016,8,7,,,
27,2014,41016,9,2,,,
28,2014,41016,10,2,,,
29,2014,41016,11,2,,,
30,2014,41016,11,7,,,
31,2014,41016,13,2,,,
32,2014,41016,13,7,,,
33,2014,41020,1,1,,,
34,2014,41020,1,2,,,
35,2014,41020,1,6,,,
36,2014,41020,1,7,,,
37,2014,41020,2,7,,,
38,2014,41020,3,2,,,
39,2014,41020,3,7,,,
40,2014,41020,5,2,,,
41,2014,41020,5,7,,,
42,2014,41020,7,2,,,
43,2014,41020,10,7,,,
44,2014,41020,11,2,,,
45,2014,41020,11,7,,,
46,2014,41020,12,2,,,
47,2014,41020,13,2,,,
48,2014,41020,13,7,,,
49,2014,41026,1,2,,,
50,2014,41026,2,2,,,
51,2014,41026,3,2,,,
52,2014,41026,3,6,,,
53,2014,41026,10,2,,,
54,2014,41026,11,2,,,
55,2014,41026,11,9,,,
56,2014,41026,13,2,,,
57,2014,41026,13,7,,,
58,2014,41078,1,2,,,
59,2014,41078,1,7,,,
60,2014,41078,8,2,,,
61,2014,41078,11,2,,,
62,2014,41078,13,2,,,
63,2014,41132,1,2,,,
64,2014,41132,1,5,,,
65,2014,41132,1,6,,,
66,2014,41132,1,7,,,
67,2014,41132,1,9,,,
68,2014,41132,2,2,,,
69,2014,41132,2,7,,,
70,2014,41132,3,2,,,
71,2014,41132,4,2,,,
72,2014,41132,4,5,,,
73,2014,41132,5,5,,,
74,2014,41132,5,7,,,
75,2014,41132,6,5,,,
76,2014,41132,7,2,,,
77,2014,41132,7,5,,,
78,2014,41132,8,2,,,
79,2014,41132,8,5,,,
80,2014,41132,8,7,,,
81,2014,41132,8,9,,,
82,2014,41132,10,2,,,
83,2014,41132,10,5,,,
84,2014,41132,10,7,,,
85,2014,41132,12,2,,,
86,2014,41132,13,2,,,
87,2014,41132,13,5,,,
88,2014,41132,13,3,,,
89,2014,41132,13,7,,,
90,2014,41132,13,9,,,
91,2014,41132,11,2,,,
92,2014,41132,11,7,,,
93,2014,41132,11,9,,,
94,2014,41206,1,2,,,
95,2014,41206,1,7,,,
96,2014,41206,11,2,,,
97,2014,41206,13,2,,,
98,,41244,,,,,
99,,41298,,,,,
100,,41306,,,,,
101,,41319,,,,,
102,,41349,,,,,
103,,41357,,,,,
104,,41359,,,,,
105,,41378,,,,,
106,,41396,,,,,
107,,41483,,,,,
108,,41001,,,,,
109,,41503,,,,,
110,,41518,,,,,
111,,41524,,,,,
112,,41530,,,,,
113,,41548,,,,,
114,,41551,,,,,
115,,41615,,,,,
116,,41660,,,,,
117,,41668,,,,,
118,,41676,,,,,
119,,41770,,,,,
120,,41791,,,,,
121,,41799,,,,,
122,,41801,,,,,
123,,41797,,,,,
124,,41807,,,,,
125,,41872,,,,,
126,,41885,,,,,
