tpu_codigo,tpu_anio,tpu_alcance,tpu_programa,tpu_puesto,tpu_num_matriculas
1,2014,1,41,1,
2,2014,1,1,2,
3,2014,1,6,3,
4,2014,1,45,4,
5,2014,1,34,5,
6,2014,1,20,6,
7,2014,1,13,7,
8,2014,1,44,8,
9,2014,1,93,9,
10,2014,1,14,10,
11,2014,1,86,11,
12,2014,1,21,12,
13,2014,1,34,13,
14,2014,1,88,14,
15,2014,1,96,15,
16,2014,1,254,16,
17,2014,1,84,17,
18,2014,1,33,18,
19,2014,1,98,19,
20,2014,1,255,20,
21,2014,2,41,1,
22,2014,2,1,2,
23,2014,2,6,3,
24,2014,2,45,4,
25,2014,2,34,5,
26,2014,2,21,6,
27,2014,2,256,7,
28,2014,2,15,8,
29,2014,2,33,9,
30,2014,2,44,10,
31,2014,2,13,11,
32,2014,2,19,12,
33,2014,2,86,13,
34,2014,2,32,14,
35,2014,2,29,15,
36,2014,2,88,16,
37,2014,2,14,17,
38,2014,2,96,18,
39,2014,2,27,19,
40,2014,2,28,20,
41,2012,1,1,,101585
42,2012,1,41,,100436
43,2012,1,6,,92103
44,2012,1,45,,61112
45,2012,1,34,,58640
46,2012,1,257,,767325
47,2012,1,258,,29191
48,2012,1,245,,19713
49,2012,1,259,,16384
50,2012,1,260,,15052
51,2012,1,261,,13529
52,2012,1,257,,412506
53,2012,1,258,,4394
54,2012,1,267,,3775
55,2012,1,259,,2326
56,2012,1,260,,2014
57,2012,1,261,,1931
58,2012,1,257,,61576
59,2012,2,45,,3352
60,2012,2,6,,1981
61,2012,2,41,,1902
62,2012,2,1,,1853
63,2012,2,86,,1563
64,2012,2,257,,12275
65,2012,2,260,,619
66,2012,2,258,,598
67,2012,2,268,,446
68,2012,2,259,,423
69,2012,2,269,,392
70,2012,2,257,,5979
71,2012,2,263,,162
72,2012,2,264,,134
73,2012,2,270,,44
74,2012,2,271,,30
75,2012,2,272,,30
76,2012,2,257,,268
77,2010,1,1,,75542
78,2010,1,6,,71137
79,2010,1,41,,75497
80,2010,1,14,,20561
81,2010,1,20,,22926
82,2010,1,44,,36250
83,2010,1,21,,21047
84,2010,1,45,,47008
85,2010,1,13,,35480
86,2010,1,34,,41501
87,2010,2,1,,1513
88,2010,2,6,,1564
89,2010,2,41,,1566
90,2010,2,86,,838
91,2010,2,19,,541
92,2010,2,44,,909
93,2010,2,21,,689
94,2010,2,45,,1550
95,2010,2,13,,507
96,2010,2,34,,1250
97,2008,1,1,,75993
98,2008,1,6,,72080
99,2008,1,41,,76141
100,2008,1,14,,20062
101,2008,1,20,,21081
102,2008,1,44,,38440
103,2008,1,21,,21811
104,2008,1,45,,43282
105,2008,1,13,,36006
106,2008,1,34,,40106
107,2008,2,1,,1192
108,2008,2,6,,1261
109,2008,2,41,,1655
110,2008,2,86,,678
111,2008,2,44,,833
112,2008,2,21,,634
113,2008,2,45,,1136
114,2008,2,19,,476
115,2008,2,13,,522
116,2008,2,34,,1175
117,2003,1,13,,47783
118,2003,1,44,,23542
119,2003,1,14,,14671
120,2003,1,41,,11018
121,2003,1,1,,11420
122,2003,1,34,,12129
123,2003,1,21,,9915
124,2003,1,98,,9037
125,2003,1,45,,6996
126,2003,1,6,,6020
127,2003,1,20,,6260
128,2003,1,96,,7753
129,2003,1,73,,3547
130,2003,1,85,,9915
131,2003,1,141,,4018
132,2003,1,277,,3800
133,2003,1,46,,3539
134,2003,1,93,,4389
135,2003,1,278,,2791
136,2003,1,279,,3376
137,2003,1,257,,129010
138,2003,2,1,,2900
139,2003,2,280,,1540
140,2003,2,281,,1466
141,2003,2,41,,2165
142,2003,2,6,,1924
143,2003,2,34,,1730
144,2003,2,98,,88
145,2003,2,73,,577
146,2003,2,44,,1516
147,2003,2,96,,92
148,2003,2,45,,1443
149,2003,2,282,,975
150,2003,2,79,,880
151,2003,2,85,,800
152,2003,2,279,,754
153,2003,2,21,,911
154,2003,2,19,,705
155,2003,2,20,,640
156,2003,2,136,,551
157,2003,2,83,,406
158,2003,2,283,,348
159,2003,2,284,,161
160,2003,2,285,,415
161,2003,2,286,,249
162,2003,2,287,,277
163,2003,2,111,,76
164,2003,2,288,,60
165,2003,2,113,,29
166,2003,2,93,,90
167,2003,2,187,,65
168,2003,2,175,,72
169,2003,2,92,,440
170,2003,2,257,,289
