atem_codigo,atem_municipio,atem_anio,atem_tipo_atencion_extra,atem_tipo_dato_atencion,atem_numero
1,41001,2016,1,1,180
2,41298,2016,1,1,65
3,41551,2016,1,1,28
4,41396,2016,1,1,74
5,41001,2016,1,2,0
6,41298,2016,1,2,0
7,41551,2016,1,2,29
8,41396,2016,1,2,0
9,41001,2016,2,2,1561
10,41298,2016,2,2,433
11,41551,2016,2,2,33
12,41396,2016,2,2,248
13,41001,2016,3,1,899
14,41298,2016,3,1,193
15,41551,2016,3,1,0
16,41396,2016,3,1,164
17,41001,2016,3,2,0
18,41298,2016,3,2,0
19,41551,2016,3,2,0
20,41396,2016,3,2,0
21,41001,2016,4,1,554
22,41298,2016,4,1,43
23,41551,2016,4,1,1
24,41396,2016,4,1,10
25,41001,2016,4,2,0
26,41298,2016,4,2,0
27,41551,2016,4,2,2
28,41396,2016,4,2,0
29,41001,2016,5,1,3
30,41298,2016,5,1,0
31,41551,2016,5,1,0
32,41396,2016,5,1,0
33,41001,2016,5,2,0
34,41298,2016,5,2,0
35,41551,2016,5,2,0
36,41396,2016,5,2,0
37,41001,2016,6,,2
38,41298,2016,6,,163
39,41551,2016,6,,22
40,41396,2016,6,,0
41,41001,2014,1,1,331
42,41298,2014,1,1,55
43,41551,2014,1,1,50
44,41396,2014,1,1,60
45,41001,2014,1,2,166
46,41298,2014,1,2,55
47,41551,2014,1,2,50
48,41396,2014,1,2,60
49,41001,2014,2,2,1919
50,41298,2014,2,2,222
51,41551,2014,2,2,363
52,41396,2014,2,2,164
53,41001,2014,3,1,855
54,41298,2014,3,1,195
55,41551,2014,3,1,199
56,41396,2014,3,1,166
57,41001,2014,3,2,358
58,41298,2014,3,2,195
59,41551,2014,3,2,199
60,41396,2014,3,2,167
61,41001,2014,4,1,358
62,41298,2014,4,1,24
63,41551,2014,4,1,87
64,41396,2014,4,1,136
65,41001,2014,4,2,61
66,41298,2014,4,2,24
67,41551,2014,4,2,87
68,41396,2014,4,2,136
69,41001,2014,5,1,23
70,41298,2014,5,1,0
71,41551,2014,5,1,3
72,41396,2014,5,1,0
73,41001,2014,5,2,23
74,41298,2014,5,2,0
75,41551,2014,5,2,3
76,41396,2014,5,2,0
77,41001,2014,6,,48
78,41298,2014,6,,0
79,41551,2014,6,,2
80,41396,2014,6,,0
