cvih_codigo,cvih_municipio,cvih_anio,cvih_numCasos
1,41006,2016,1
2,41013,2016,3
3,41016,2016,0
4,41020,2016,0
5,41026,2016,0
6,41078,2016,0
7,41132,2016,6
8,41206,2016,0
9,41244,2016,0
10,41298,2016,4
11,41306,2016,1
12,41319,2016,0
13,41349,2016,1
14,41357,2016,0
15,41359,2016,1
16,41378,2016,0
17,41396,2016,5
18,41483,2016,0
19,41001,2016,135
20,41503,2016,0
21,41518,2016,0
22,41524,2016,0
23,41530,2016,2
24,41548,2016,2
25,41551,2016,19
26,41615,2016,4
27,41660,2016,0
28,41668,2016,2
29,41676,2016,0
30,41770,2016,5
31,41791,2016,0
32,41799,2016,0
33,41801,2016,0
34,41797,2016,0
35,41807,2016,2
36,41872,2016,1
37,41885,2016,0
38,41006,2014,2
39,41013,2014,1
40,41016,2014,1
41,41020,2014,0
42,41026,2014,0
43,41078,2014,1
44,41132,2014,7
45,41206,2014,2
46,41244,2014,1
47,41298,2014,8
48,41306,2014,4
49,41319,2014,1
50,41349,2014,0
51,41357,2014,0
52,41359,2014,3
53,41378,2014,0
54,41396,2014,5
55,41483,2014,0
56,41001,2014,91
57,41503,2014,0
58,41518,2014,0
59,41524,2014,6
60,41530,2014,0
61,41548,2014,1
62,41551,2014,12
63,41615,2014,2
64,41660,2014,0
65,41668,2014,0
66,41676,2014,1
67,41770,2014,0
68,41791,2014,0
69,41799,2014,0
70,41801,2014,1
71,41797,2014,0
72,41807,2014,2
73,41872,2014,0
74,41885,2014,0
75,41006,2013,3
76,41013,2013,1
77,41016,2013,3
78,41020,2013,4
79,41026,2013,0
80,41078,2013,0
81,41132,2013,2
82,41206,2013,1
83,41244,2013,0
84,41298,2013,4
85,41306,2013,2
86,41319,2013,2
87,41349,2013,0
88,41357,2013,1
89,41359,2013,1
90,41378,2013,0
91,41396,2013,3
92,41483,2013,0
93,41001,2013,103
94,41503,2013,0
95,41518,2013,0
96,41524,2013,3
97,41530,2013,0
98,41548,2013,1
99,41551,2013,19
100,41615,2013,1
101,41660,2013,0
102,41668,2013,0
103,41676,2013,0
104,41770,2013,4
105,41791,2013,0
106,41799,2013,1
107,41801,2013,1
108,41797,2013,1
109,41807,2013,2
110,41872,2013,1
111,41885,2013,0
112,41006,2011,1
113,41013,2011,0
114,41016,2011,0
115,41020,2011,1
116,41026,2011,0
117,41078,2011,0
118,41132,2011,0
119,41206,2011,2
120,41244,2011,1
121,41298,2011,4
122,41306,2011,4
123,41319,2011,2
124,41349,2011,2
125,41357,2011,0
126,41359,2011,0
127,41378,2011,0
128,41396,2011,2
129,41483,2011,0
130,41001,2011,72
131,41503,2011,1
132,41518,2011,0
133,41524,2011,1
134,41530,2011,0
135,41548,2011,0
136,41551,2011,13
137,41615,2011,2
138,41660,2011,0
139,41668,2011,0
140,41676,2011,0
141,41770,2011,0
142,41791,2011,0
143,41799,2011,0
144,41801,2011,0
145,41797,2011,1
146,41807,2011,3
147,41872,2011,0
148,41885,2011,0
149,41006,2010,0
150,41013,2010,0
151,41016,2010,0
152,41020,2010,0
153,41026,2010,3
154,41078,2010,1
155,41132,2010,2
156,41206,2010,1
157,41244,2010,0
158,41298,2010,7
159,41306,2010,4
160,41319,2010,1
161,41349,2010,0
162,41357,2010,0
163,41359,2010,0
164,41378,2010,0
165,41396,2010,2
166,41483,2010,2
167,41001,2010,53
168,41503,2010,1
169,41518,2010,0
170,41524,2010,1
171,41530,2010,0
172,41548,2010,2
173,41551,2010,10
174,41615,2010,0
175,41660,2010,0
176,41668,2010,1
177,41676,2010,0
178,41770,2010,0
179,41791,2010,0
180,41799,2010,0
181,41801,2010,0
182,41797,2010,0
183,41807,2010,2
184,41872,2010,0
185,41885,2010,1
186,41006,2009,2
187,41013,2009,1
188,41016,2009,0
189,41020,2009,1
190,41026,2009,0
191,41078,2009,0
192,41132,2009,1
193,41206,2009,0
194,41244,2009,0
195,41298,2009,8
196,41306,2009,2
197,41319,2009,0
198,41349,2009,0
199,41357,2009,0
200,41359,2009,1
201,41378,2009,0
202,41396,2009,3
203,41483,2009,0
204,41001,2009,66
205,41503,2009,1
206,41518,2009,0
207,41524,2009,2
208,41530,2009,0
209,41548,2009,0
210,41551,2009,21
211,41615,2009,2
212,41660,2009,0
213,41668,2009,1
214,41676,2009,0
215,41770,2009,0
216,41791,2009,0
217,41799,2009,0
218,41801,2009,1
219,41797,2009,1
220,41807,2009,0
221,41872,2009,0
222,41885,2009,0
223,41006,2008,0
224,41013,2008,0
225,41016,2008,2
226,41020,2008,1
227,41026,2008,0
228,41078,2008,0
229,41132,2008,1
230,41206,2008,0
231,41244,2008,0
232,41298,2008,2
233,41306,2008,0
234,41319,2008,1
235,41349,2008,0
236,41357,2008,0
237,41359,2008,0
238,41378,2008,0
239,41396,2008,2
240,41483,2008,0
241,41001,2008,69
242,41503,2008,0
243,41518,2008,0
244,41524,2008,0
245,41530,2008,0
246,41548,2008,1
247,41551,2008,7
248,41615,2008,0
249,41660,2008,1
250,41668,2008,1
251,41676,2008,0
252,41770,2008,0
253,41791,2008,0
254,41799,2008,0
255,41801,2008,0
256,41797,2008,0
257,41807,2008,2
258,41872,2008,0
259,41885,2008,0
260,41006,2007,0
261,41013,2007,1
262,41016,2007,1
263,41020,2007,0
264,41026,2007,0
265,41078,2007,0
266,41132,2007,2
267,41206,2007,1
268,41244,2007,0
269,41298,2007,4
270,41306,2007,3
271,41319,2007,1
272,41349,2007,0
273,41357,2007,0
274,41359,2007,1
275,41378,2007,0
276,41396,2007,0
277,41483,2007,0
278,41001,2007,69
279,41503,2007,0
280,41518,2007,0
281,41524,2007,1
282,41530,2007,1
283,41548,2007,0
284,41551,2007,10
285,41615,2007,3
286,41660,2007,0
287,41668,2007,0
288,41676,2007,0
289,41770,2007,0
290,41791,2007,1
291,41799,2007,0
292,41801,2007,0
293,41797,2007,0
294,41807,2007,1
295,41872,2007,0
296,41885,2007,0
297,41006,2006,1
298,41013,2006,0
299,41016,2006,0
300,41020,2006,1
301,41026,2006,0
302,41078,2006,1
303,41132,2006,1
304,41206,2006,1
305,41244,2006,0
306,41298,2006,7
307,41306,2006,2
308,41319,2006,0
309,41349,2006,0
310,41357,2006,0
311,41359,2006,1
312,41378,2006,0
313,41396,2006,7
314,41483,2006,0
315,41001,2006,64
316,41503,2006,0
317,41518,2006,0
318,41524,2006,4
319,41530,2006,1
320,41548,2006,0
321,41551,2006,10
322,41615,2006,1
323,41660,2006,0
324,41668,2006,0
325,41676,2006,0
326,41770,2006,0
327,41791,2006,1
328,41799,2006,0
329,41801,2006,1
330,41797,2006,0
331,41807,2006,0
332,41872,2006,0
333,41885,2006,1
334,41006,2004,1
335,41013,2004,0
336,41016,2004,0
337,41020,2004,1
338,41026,2004,0
339,41078,2004,1
340,41132,2004,1
341,41206,2004,1
342,41244,2004,0
343,41298,2004,7
344,41306,2004,2
345,41319,2004,0
346,41349,2004,0
347,41357,2004,0
348,41359,2004,1
349,41378,2004,0
350,41396,2004,7
351,41483,2004,0
352,41001,2004,64
353,41503,2004,0
354,41518,2004,0
355,41524,2004,4
356,41530,2004,1
357,41548,2004,0
358,41551,2004,10
359,41615,2004,1
360,41660,2004,0
361,41668,2004,0
362,41676,2004,0
363,41770,2004,0
364,41791,2004,1
365,41799,2004,0
366,41801,2004,1
367,41797,2004,0
368,41807,2004,0
369,41872,2004,0
370,41885,2004,1
371,41006,2003,0
372,41013,2003,0
373,41016,2003,2
374,41020,2003,0
375,41026,2003,1
376,41078,2003,0
377,41132,2003,4
378,41206,2003,0
379,41244,2003,0
380,41298,2003,4
381,41306,2003,1
382,41319,2003,0
383,41349,2003,0
384,41357,2003,0
385,41359,2003,0
386,41378,2003,1
387,41396,2003,3
388,41483,2003,0
389,41001,2003,77
390,41503,2003,0
391,41518,2003,1
392,41524,2003,1
393,41530,2003,0
394,41548,2003,1
395,41551,2003,9
396,41615,2003,0
397,41660,2003,0
398,41668,2003,0
399,41676,2003,0
400,41770,2003,0
401,41791,2003,0
402,41799,2003,0
403,41801,2003,2
404,41797,2003,1
405,41807,2003,1
406,41872,2003,0
407,41885,2003,1
408,41006,2002,1
409,41016,2002,4
410,41020,2002,3
411,41026,2002,1
412,41078,2002,8
413,41132,2002,11
414,41206,2002,1
415,41298,2002,36
416,41306,2002,15
417,41319,2002,2
418,41349,2002,1
419,41357,2002,3
420,41359,2002,1
421,41378,2002,1
422,41396,2002,16
423,41001,2002,495
424,41524,2002,6
425,41530,2002,1
426,41551,2002,42
427,41615,2002,2
428,41668,2002,3
429,41676,2002,1
430,41770,2002,2
431,41791,2002,2
432,41801,2002,5
433,41807,2002,3
434,41872,2002,1
435,41885,2002,5
436,41006,2001,
437,41020,2001,15
438,41078,2001,9
439,41298,2001,
440,41306,2001,
441,41396,2001,11
442,41001,2001,2
443,41524,2001,
444,41551,2001,2
445,41797,2001,
