coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
1,41006,2015,1,1,4
2,41013,2015,1,1,0
3,41016,2015,1,1,0
4,41020,2015,1,1,5
5,41026,2015,1,1,0
6,41078,2015,1,1,0
7,41132,2015,1,1,6
8,41206,2015,1,1,0
9,41244,2015,1,1,3
10,41298,2015,1,1,24
11,41306,2015,1,1,42
12,41319,2015,1,1,2
13,41349,2015,1,1,120
14,41357,2015,1,1,95
15,41359,2015,1,1,6
16,41378,2015,1,1,128
17,41396,2015,1,1,790
18,41483,2015,1,1,11
19,41001,2015,1,1,102
20,41503,2015,1,1,75
21,41518,2015,1,1,0
22,41524,2015,1,1,73
23,41530,2015,1,1,44
24,41548,2015,1,1,53
25,41551,2015,1,1,613
26,41615,2015,1,1,280
27,41660,2015,1,1,43
28,41668,2015,1,1,81
29,41676,2015,1,1,86
30,41770,2015,1,1,9
31,41791,2015,1,1,61
32,41799,2015,1,1,2
33,41801,2015,1,1,7
34,41797,2015,1,1,9
35,41807,2015,1,1,59
36,41872,2015,1,1,101
37,41885,2015,1,1,15
38,41006,2015,1,2,740
39,41013,2015,1,2,79
40,41016,2015,1,2,201
41,41020,2015,1,2,766
42,41026,2015,1,2,50
43,41078,2015,1,2,568
44,41132,2015,1,2,507
45,41206,2015,1,2,1494
46,41244,2015,1,2,17
47,41298,2015,1,2,1565
48,41306,2015,1,2,315
49,41319,2015,1,2,487
50,41349,2015,1,2,205
51,41357,2015,1,2,266
52,41359,2015,1,2,369
53,41378,2015,1,2,338
54,41396,2015,1,2,681
55,41483,2015,1,2,91
56,41001,2015,1,2,5584
57,41503,2015,1,2,278
58,41518,2015,1,2,73
59,41524,2015,1,2,270
60,41530,2015,1,2,177
61,41548,2015,1,2,319
62,41551,2015,1,2,4564
63,41615,2015,1,2,511
64,41660,2015,1,2,298
65,41668,2015,1,2,259
66,41676,2015,1,2,112
67,41770,2015,1,2,313
68,41791,2015,1,2,708
69,41799,2015,1,2,262
70,41801,2015,1,2,125
71,41797,2015,1,2,133
72,41807,2015,1,2,522
73,41872,2015,1,2,72
74,41885,2015,1,2,65
75,41006,2015,1,3,3
76,41013,2015,1,3,5
77,41016,2015,1,3,0
78,41020,2015,1,3,4
79,41026,2015,1,3,0
80,41078,2015,1,3,1
81,41132,2015,1,3,5
82,41206,2015,1,3,1
83,41244,2015,1,3,0
84,41298,2015,1,3,52
85,41306,2015,1,3,2
86,41319,2015,1,3,0
87,41349,2015,1,3,0
88,41357,2015,1,3,0
89,41359,2015,1,3,1
90,41378,2015,1,3,1
91,41396,2015,1,3,25
92,41483,2015,1,3,1
93,41001,2015,1,3,136
94,41503,2015,1,3,0
95,41518,2015,1,3,0
96,41524,2015,1,3,3
97,41530,2015,1,3,2
98,41548,2015,1,3,1
99,41551,2015,1,3,22
100,41615,2015,1,3,1
101,41660,2015,1,3,1
102,41668,2015,1,3,1
103,41676,2015,1,3,3
104,41770,2015,1,3,4
105,41791,2015,1,3,1
106,41799,2015,1,3,0
107,41801,2015,1,3,1
108,41797,2015,1,3,1
109,41807,2015,1,3,3
