dpcm_codigo,dpcm_codMunicipio,dpcm_anio,dpcm_poblacionTotal,dpcm_poblacionSisben,dpcm_afiliados_subsisiados,dpcm_afiliados_contributivo,dpcm_porcentaje_sgsss,dpcm_porcentaje_cobertura_subsidiado
1,41006,2015,32911,28268,27283,668,91.86,85.67
2,41013,2015,9061,8872,6978,902,82.83,88.43
3,41016,2015,26235,16105,11857,2363,79.28,54.49
4,41020,2015,24492,21856,20012,937,89.31,86.28
5,41026,2015,4293,2812,2094,270,76.15,55.21
6,41078,2015,9613,7305,5589,383,77.17,62.68
7,41132,2015,34306,29505,23905,7156,89.69,91.72
8,41206,2015,12415,8347,6531,315,79.37,55.92
9,41244,2015,3930,3605,3021,171,86.41,82.65
10,41298,2015,88213,56184,54820,17103,102.29,83.38
11,41306,2015,33324,18612,17453,4836,99.14,68.64
12,41319,2015,21274,15500,15749,1127,100.08,80.69
13,41349,2015,6928,5706,5458,887,96.11,92.08
14,41357,2015,12736,8070,8986,589,87.67,76.07
15,41359,2015,27144,25019,23814,867,93.43,92.5
16,41378,2015,14021,13207,12331,601,88.82,94.22
17,41396,2015,62728,50064,49072,10771,99.1,97.59
18,41483,2015,6338,5384,4693,279,86.92,79.54
19,41001,2015,342117,180889,166337,203870,116.07,111.73
20,41503,2015,13523,10701,10086,257,91.66,77.63
21,41518,2015,5565,4703,4165,523,90.6,85.86
22,41524,2015,32681,18081,15078,2394,84.69,53.69
23,41530,2015,11565,10655,10406,325,93.72,93.41
24,41548,2015,13685,12363,10694,555,86.61,82.91
25,41551,2015,125839,105076,97547,37677,104.29,110.69
26,41615,2015,18796,19733,13284,2018,70.33,81.85
27,41660,2015,11464,11372,10756,400,92.4,98.54
28,41668,2015,32894,31592,28668,1676,89.62,93.96
29,41676,2015,11348,9334,9409,473,94.71,87.99
30,41770,2015,18968,15108,16231,871,97.14,91.6
31,41791,2015,17604,16389,13662,1012,85.18,85.11
32,41799,2015,14195,12804,9164,631,72.93,69.02
33,41801,2015,8744,7337,6403,477,88.72,79.29
34,41797,2015,9247,8254,7437,1177,93.06,94.8
35,41807,2015,20319,20552,16578,601,81.44,85.37
36,41872,2015,7312,6375,5259,341,83.21,76.97
37,41885,2015,8949,4444,4645,1692,115.95,71.45
38,41006,2014,32208,27473,27090,515,90.99,86.4
39,41013,2014,9005,8674,6785,942,80.69,87.13
40,41016,2014,25536,15677,11860,2286,78.59,55.65
41,41020,2014,24427,20705,19819,864,89.67,85.52
42,41026,2014,4224,2667,2025,197,75.76,52.79
43,41078,2014,9575,7248,5711,467,73.34,65.09
44,41132,2014,34133,28188,23739,7446,88.83,92.62
45,41206,2014,12293,8260,6636,247,67.87,56.81
46,41244,2014,3865,3394,2999,172,90.06,83.34
47,41298,2014,86249,53499,52835,17707,98.71,83.69
48,41306,2014,32784,17331,16817,5757,100,70.67
49,41319,2014,20887,15202,15231,1134,95.7,79.89
50,41349,2014,6892,5694,5448,840,89.31,91.77
51,41357,2014,12518,7774,9049,584,86.59,77.91
52,41359,2014,26788,24586,23190,920,91.74,91.56
53,41378,2014,13756,12666,12346,624,89.33,96.29
54,41396,2014,61644,48747,47743,10970,94.57,97.47
55,41483,2014,6286,5177,4635,212,86.09,78.35
56,41001,2014,340046,158060,160875,204367,100,111.03
57,41503,2014,13226,10387,10109,235,90.28,79.43
58,41518,2014,5525,4614,4057,499,87.06,84
59,41524,2014,32105,16178,14896,2083,90.74,53.12
60,41530,2014,11430,10452,10411,265,93.51,94.01
61,41548,2014,13593,11960,10536,527,84.91,82.18
62,41551,2014,123430,101218,94737,37053,95.94,110.02
63,41615,2014,18591,18801,13150,1752,68.7,80.7
64,41660,2014,11341,11081,10284,337,88.18,94.9
65,41668,2014,32586,31528,28802,1874,89.21,95.9
66,41676,2014,11246,9059,9484,512,95.89,89.93
67,41770,2014,18465,14649,15645,1049,95.36,91.84
68,41791,2014,17436,15908,13886,1035,84.47,87.31
69,41799,2014,14118,12524,9253,521,73.11,69.25
70,41801,2014,8691,7088,6273,534,88.02,78.85
71,41797,2014,9210,6838,7052,1502,100,95.03
72,41807,2014,20282,19996,16427,677,80.35,85.17
73,41872,2014,7316,5675,5322,333,90.7,77.67
74,41885,2014,8832,4002,4547,1811,100,72.69
