def_codigo,def_codMunicipio,def_anio,def_codTipoDefuncion,def_rango_edad,def_codAreaDefuncion,def_genero,def_numeroCasos
1,41006,2016,8,3,,,0
2,41078,2016,8,3,,,0
3,41359,2016,8,3,,,0
4,41378,2016,8,3,,,0
5,41548,2016,8,3,,,0
6,41668,2016,8,3,,,0
7,41791,2016,8,3,,,0
8,41797,2016,8,3,,,0
9,41807,2016,8,3,,,0
10,41885,2016,8,3,,,0
11,41006,2016,8,4,,,0
12,41078,2016,8,4,,,0
13,41359,2016,8,4,,,0
14,41378,2016,8,4,,,0
15,41548,2016,8,4,,,1
16,41668,2016,8,4,,,0
17,41791,2016,8,4,,,1
18,41797,2016,8,4,,,0
19,41807,2016,8,4,,,1
20,41885,2016,8,4,,,0
21,41006,2016,8,5,,,0
22,41078,2016,8,5,,,1
23,41359,2016,8,5,,,0
24,41378,2016,8,5,,,0
25,41548,2016,8,5,,,1
26,41668,2016,8,5,,,1
27,41791,2016,8,5,,,0
28,41797,2016,8,5,,,1
29,41807,2016,8,5,,,0
30,41885,2016,8,5,,,0
31,41006,2016,8,7,,,1
32,41078,2016,8,7,,,0
33,41359,2016,8,7,,,0
34,41378,2016,8,7,,,0
35,41548,2016,8,7,,,0
36,41668,2016,8,7,,,1
37,41791,2016,8,7,,,0
38,41797,2016,8,7,,,0
39,41807,2016,8,7,,,0
40,41885,2016,8,7,,,0
41,41006,2016,8,8,,,0
42,41078,2016,8,8,,,0
43,41359,2016,8,8,,,0
44,41378,2016,8,8,,,0
45,41548,2016,8,8,,,0
46,41668,2016,8,8,,,1
47,41791,2016,8,8,,,0
48,41797,2016,8,8,,,0
49,41807,2016,8,8,,,0
50,41885,2016,8,8,,,0
51,41006,2016,8,9,,,0
52,41078,2016,8,9,,,0
53,41359,2016,8,9,,,1
54,41378,2016,8,9,,,0
55,41548,2016,8,9,,,0
56,41668,2016,8,9,,,0
57,41791,2016,8,9,,,0
58,41797,2016,8,9,,,0
59,41807,2016,8,9,,,0
60,41885,2016,8,9,,,0
61,41006,2016,8,10,,,0
62,41078,2016,8,10,,,0
63,41359,2016,8,10,,,0
64,41378,2016,8,10,,,0
65,41548,2016,8,10,,,1
66,41668,2016,8,10,,,0
67,41791,2016,8,10,,,0
68,41797,2016,8,10,,,0
69,41807,2016,8,10,,,0
70,41885,2016,8,10,,,1
71,41006,2016,8,11,,,0
72,41078,2016,8,11,,,0
73,41359,2016,8,11,,,0
74,41378,2016,8,11,,,0
75,41548,2016,8,11,,,0
76,41668,2016,8,11,,,1
77,41791,2016,8,11,,,1
78,41797,2016,8,11,,,0
79,41807,2016,8,11,,,0
80,41885,2016,8,11,,,0
81,41006,2016,8,12,,,0
82,41078,2016,8,12,,,0
83,41359,2016,8,12,,,0
84,41378,2016,8,12,,,0
85,41548,2016,8,12,,,0
86,41668,2016,8,12,,,0
87,41791,2016,8,12,,,0
88,41797,2016,8,12,,,0
89,41807,2016,8,12,,,0
90,41885,2016,8,12,,,0
91,41006,2016,8,13,,,0
92,41078,2016,8,13,,,0
93,41359,2016,8,13,,,0
94,41378,2016,8,13,,,1
95,41548,2016,8,13,,,0
96,41668,2016,8,13,,,0
97,41791,2016,8,13,,,0
98,41797,2016,8,13,,,0
99,41807,2016,8,13,,,0
100,41885,2016,8,13,,,0
101,41006,2016,8,14,,,0
102,41078,2016,8,14,,,0
103,41359,2016,8,14,,,0
104,41378,2016,8,14,,,0
105,41548,2016,8,14,,,0
106,41668,2016,8,14,,,0
107,41791,2016,8,14,,,1
108,41797,2016,8,14,,,2
109,41807,2016,8,14,,,0
110,41885,2016,8,14,,,0
111,41006,2016,8,15,,,0
112,41078,2016,8,15,,,0
113,41359,2016,8,15,,,0
114,41378,2016,8,15,,,0
115,41548,2016,8,15,,,0
116,41668,2016,8,15,,,1
117,41791,2016,8,15,,,0
118,41797,2016,8,15,,,0
119,41807,2016,8,15,,,0
120,41885,2016,8,15,,,0
121,41006,2016,8,16,,,0
122,41078,2016,8,16,,,0
123,41359,2016,8,16,,,0
124,41378,2016,8,16,,,0
125,41548,2016,8,16,,,0
126,41668,2016,8,16,,,0
127,41791,2016,8,16,,,0
128,41797,2016,8,16,,,0
129,41807,2016,8,16,,,0
130,41885,2016,8,16,,,0
131,41006,2016,8,17,,,0
132,41078,2016,8,17,,,0
133,41359,2016,8,17,,,0
134,41378,2016,8,17,,,0
135,41548,2016,8,17,,,0
136,41668,2016,8,17,,,0
137,41791,2016,8,17,,,0
138,41797,2016,8,17,,,0
139,41807,2016,8,17,,,0
140,41885,2016,8,17,,,0
141,41006,2016,8,18,,,0
142,41078,2016,8,18,,,0
143,41359,2016,8,18,,,0
144,41378,2016,8,18,,,0
145,41548,2016,8,18,,,0
146,41668,2016,8,18,,,1
147,41791,2016,8,18,,,0
148,41797,2016,8,18,,,0
149,41807,2016,8,18,,,0
150,41885,2016,8,18,,,0
151,41006,2016,,,5,2,18
152,41013,2016,,,5,2,17
153,41016,2016,,,5,2,28
154,41020,2016,,,5,2,30
155,41026,2016,,,5,2,7
156,41078,2016,,,5,2,8
157,41132,2016,,,5,2,64
158,41206,2016,,,5,2,4
159,41244,2016,,,5,2,3
160,41298,2016,,,5,2,93
161,41306,2016,,,5,2,38
162,41319,2016,,,5,2,15
163,41349,2016,,,5,2,17
164,41357,2016,,,5,2,11
165,41359,2016,,,5,2,16
166,41378,2016,,,5,2,7
167,41396,2016,,,5,2,50
168,41483,2016,,,5,2,6
169,41001,2016,,,5,2,838
170,41503,2016,,,5,2,2
171,41518,2016,,,5,2,4
172,41524,2016,,,5,2,41
173,41530,2016,,,5,2,2
174,41548,2016,,,5,2,13
175,41551,2016,,,5,2,181
176,41615,2016,,,5,2,28
177,41660,2016,,,5,2,4
178,41668,2016,,,5,2,27
179,41676,2016,,,5,2,8
180,41770,2016,,,5,2,10
181,41791,2016,,,5,2,9
182,41799,2016,,,5,2,10
183,41801,2016,,,5,2,7
184,41797,2016,,,5,2,15
185,41807,2016,,,5,2,18
186,41872,2016,,,5,2,4
187,41885,2016,,,5,2,20
188,41006,2016,,,5,1,13
189,41013,2016,,,5,1,14
190,41016,2016,,,5,1,25
191,41020,2016,,,5,1,41
192,41026,2016,,,5,1,4
193,41078,2016,,,5,1,11
194,41132,2016,,,5,1,84
195,41206,2016,,,5,1,6
196,41244,2016,,,5,1,3
197,41298,2016,,,5,1,98
198,41306,2016,,,5,1,39
199,41319,2016,,,5,1,15
200,41349,2016,,,5,1,12
201,41357,2016,,,5,1,14
202,41359,2016,,,5,1,19
203,41378,2016,,,5,1,13
204,41396,2016,,,5,1,59
205,41483,2016,,,5,1,10
206,41001,2016,,,5,1,828
207,41503,2016,,,5,1,8
208,41518,2016,,,5,1,6
209,41524,2016,,,5,1,39
210,41530,2016,,,5,1,4
211,41548,2016,,,5,1,13
212,41551,2016,,,5,1,142
213,41615,2016,,,5,1,35
214,41660,2016,,,5,1,3
215,41668,2016,,,5,1,28
216,41676,2016,,,5,1,7
217,41770,2016,,,5,1,13
218,41791,2016,,,5,1,22
219,41799,2016,,,5,1,8
220,41801,2016,,,5,1,16
221,41797,2016,,,5,1,11
222,41807,2016,,,5,1,23
223,41872,2016,,,5,1,13
224,41885,2016,,,5,1,18
225,41006,2016,,,4,2,6
226,41013,2016,,,4,2,
227,41016,2016,,,4,2,4
228,41020,2016,,,4,2,3
229,41026,2016,,,4,2,1
230,41078,2016,,,4,2,
231,41132,2016,,,4,2,3
232,41206,2016,,,4,2,
233,41244,2016,,,4,2,3
234,41298,2016,,,4,2,24
235,41306,2016,,,4,2,14
236,41319,2016,,,4,2,4
237,41349,2016,,,4,2,
238,41357,2016,,,4,2,5
239,41359,2016,,,4,2,1
240,41378,2016,,,4,2,
241,41396,2016,,,4,2,11
242,41483,2016,,,4,2,1
243,41001,2016,,,4,2,28
244,41503,2016,,,4,2,3
245,41518,2016,,,4,2,
246,41524,2016,,,4,2,8
247,41530,2016,,,4,2,
248,41548,2016,,,4,2,1
249,41551,2016,,,4,2,41
250,41615,2016,,,4,2,14
251,41660,2016,,,4,2,1
252,41668,2016,,,4,2,5
253,41676,2016,,,4,2,2
254,41770,2016,,,4,2,8
255,41791,2016,,,4,2,6
256,41799,2016,,,4,2,6
257,41801,2016,,,4,2,
258,41797,2016,,,4,2,5
259,41807,2016,,,4,2,13
260,41872,2016,,,4,2,12
261,41885,2016,,,4,2,
262,41006,2016,,,4,1,10
263,41013,2016,,,4,1,
264,41016,2016,,,4,1,6
265,41020,2016,,,4,1,2
266,41026,2016,,,4,1,2
267,41078,2016,,,4,1,
268,41132,2016,,,4,1,9
269,41206,2016,,,4,1,1
270,41244,2016,,,4,1,
271,41298,2016,,,4,1,23
272,41306,2016,,,4,1,16
273,41319,2016,,,4,1,4
274,41349,2016,,,4,1,1
275,41357,2016,,,4,1,1
276,41359,2016,,,4,1,5
277,41378,2016,,,4,1,3
278,41396,2016,,,4,1,13
279,41483,2016,,,4,1,1
280,41001,2016,,,4,1,34
281,41503,2016,,,4,1,1
282,41518,2016,,,4,1,2
283,41524,2016,,,4,1,10
284,41530,2016,,,4,1,
285,41548,2016,,,4,1,
286,41551,2016,,,4,1,43
287,41615,2016,,,4,1,11
288,41660,2016,,,4,1,1
289,41668,2016,,,4,1,6
290,41676,2016,,,4,1,1
291,41770,2016,,,4,1,5
292,41791,2016,,,4,1,10
293,41799,2016,,,4,1,4
294,41801,2016,,,4,1,
295,41797,2016,,,4,1,4
296,41807,2016,,,4,1,16
297,41872,2016,,,4,1,12
298,41885,2016,,,4,1,
299,41006,2016,,,3,2,28
300,41013,2016,,,3,2,4
301,41016,2016,,,3,2,8
302,41020,2016,,,3,2,10
303,41026,2016,,,3,2,1
304,41078,2016,,,3,2,4
305,41132,2016,,,3,2,7
306,41206,2016,,,3,2,8
307,41244,2016,,,3,2,2
308,41298,2016,,,3,2,36
309,41306,2016,,,3,2,12
310,41319,2016,,,3,2,12
311,41349,2016,,,3,2,1
312,41357,2016,,,3,2,6
313,41359,2016,,,3,2,44
314,41378,2016,,,3,2,8
315,41396,2016,,,3,2,41
316,41483,2016,,,3,2,5
317,41001,2016,,,3,2,10
318,41503,2016,,,3,2,10
319,41518,2016,,,3,2,5
320,41524,2016,,,3,2,3
321,41530,2016,,,3,2,16
322,41548,2016,,,3,2,12
323,41551,2016,,,3,2,62
324,41615,2016,,,3,2,5
325,41660,2016,,,3,2,13
326,41668,2016,,,3,2,35
327,41676,2016,,,3,2,6
328,41770,2016,,,3,2,10
329,41791,2016,,,3,2,7
330,41799,2016,,,3,2,6
331,41801,2016,,,3,2,4
332,41797,2016,,,3,2,2
333,41807,2016,,,3,2,14
334,41872,2016,,,3,2,
335,41885,2016,,,3,2,3
336,41006,2016,,,3,1,43
337,41013,2016,,,3,1,4
338,41016,2016,,,3,1,10
339,41020,2016,,,3,1,17
340,41026,2016,,,3,1,3
341,41078,2016,,,3,1,5
342,41132,2016,,,3,1,15
343,41206,2016,,,3,1,10
344,41244,2016,,,3,1,3
345,41298,2016,,,3,1,38
346,41306,2016,,,3,1,20
347,41319,2016,,,3,1,22
348,41349,2016,,,3,1,3
349,41357,2016,,,3,1,8
350,41359,2016,,,3,1,50
351,41378,2016,,,3,1,18
352,41396,2016,,,3,1,44
353,41483,2016,,,3,1,7
354,41001,2016,,,3,1,22
355,41503,2016,,,3,1,8
356,41518,2016,,,3,1,6
357,41524,2016,,,3,1,13
358,41530,2016,,,3,1,20
359,41548,2016,,,3,1,14
360,41551,2016,,,3,1,66
361,41615,2016,,,3,1,7
362,41660,2016,,,3,1,18
363,41668,2016,,,3,1,56
364,41676,2016,,,3,1,9
365,41770,2016,,,3,1,21
366,41791,2016,,,3,1,12
