defm_codigo,defm_municipio,defm_anio,defm_tipo_defuncion,defm_num_defunciones,defm_num_nacidoVivos
1,41006,2014,9,7,566
2,41013,2014,9,1,153
3,41016,2014,9,6,292
4,41020,2014,9,4,372
5,41026,2014,9,0,41
6,41078,2014,9,1,100
7,41132,2014,9,8,523
8,41206,2014,9,1,111
9,41244,2014,9,0,61
10,41298,2014,9,7,1430
11,41306,2014,9,3,375
12,41319,2014,9,0,326
13,41349,2014,9,2,141
14,41357,2014,9,5,177
15,41359,2014,9,3,405
16,41378,2014,9,3,226
17,41396,2014,9,14,1192
18,41483,2014,9,0,110
19,41001,2014,9,88,6845
20,41503,2014,9,5,235
21,41518,2014,9,0,101
22,41524,2014,9,4,373
23,41530,2014,9,3,219
24,41548,2014,9,5,254
25,41551,2014,9,34,2594
26,41615,2014,9,3,309
27,41660,2014,9,2,223
28,41668,2014,9,8,496
29,41676,2014,9,3,205
30,41770,2014,9,2,301
31,41791,2014,9,6,259
32,41799,2014,9,0,172
33,41801,2014,9,0,127
34,41797,2014,9,1,198
35,41807,2014,9,7,332
36,41872,2014,9,2,93
37,41885,2014,9,2,115
38,41006,2014,10,6,566
39,41013,2014,10,1,153
40,41016,2014,10,3,292
41,41020,2014,10,4,372
42,41026,2014,10,0,41
43,41078,2014,10,1,100
44,41132,2014,10,7,523
45,41206,2014,10,1,111
46,41244,2014,10,0,61
47,41298,2014,10,5,1430
48,41306,2014,10,2,375
49,41319,2014,10,0,326
50,41349,2014,10,2,141
51,41357,2014,10,5,177
52,41359,2014,10,2,405
53,41378,2014,10,3,226
54,41396,2014,10,11,1192
55,41483,2014,10,0,110
56,41001,2014,10,75,6845
57,41503,2014,10,4,235
58,41518,2014,10,0,101
59,41524,2014,10,3,373
60,41530,2014,10,2,219
61,41548,2014,10,4,254
62,41551,2014,10,28,2594
63,41615,2014,10,3,309
64,41660,2014,10,1,223
65,41668,2014,10,7,496
66,41676,2014,10,2,205
67,41770,2014,10,2,301
68,41791,2014,10,6,259
69,41799,2014,10,0,172
70,41801,2014,10,0,127
71,41797,2014,10,0,198
72,41807,2014,10,7,332
73,41872,2014,10,1,93
74,41885,2014,10,2,115
