den_codigo,den_codMunicipio,den_anio,den_clasico,den_grave
1,41006,2016,10,0
2,41013,2016,2,2
3,41016,2016,20,2
4,41020,2016,80,18
5,41026,2016,2,1
6,41078,2016,3,0
7,41132,2016,34,7
8,41206,2016,0,0
9,41244,2016,1,0
10,41298,2016,78,8
11,41306,2016,11,1
12,41319,2016,10,1
13,41349,2016,0,1
14,41357,2016,10,1
15,41359,2016,2,0
16,41378,2016,1,0
17,41396,2016,259,4
18,41483,2016,0,0
19,41001,2016,278,26
20,41503,2016,1,0
21,41518,2016,14,1
22,41524,2016,14,1
23,41530,2016,1,0
24,41548,2016,2,0
25,41551,2016,96,8
26,41615,2016,38,2
27,41660,2016,1,0
28,41668,2016,9,0
29,41676,2016,0,0
30,41770,2016,4,0
31,41791,2016,5,1
32,41799,2016,3,2
33,41801,2016,2,0
34,41797,2016,15,0
35,41807,2016,18,1
36,41872,2016,2,0
37,41885,2016,3,0
38,41006,2014,16,
39,41013,2014,13,
40,41016,2014,66,
41,41020,2014,61,2
42,41026,2014,1,1
43,41078,2014,28,1
44,41132,2014,236,24
45,41206,2014,1,
46,41244,2014,,
47,41298,2014,129,4
48,41306,2014,22,1
49,41319,2014,37,1
50,41349,2014,33,1
51,41357,2014,15,1
52,41359,2014,8,
53,41378,2014,1,
54,41396,2014,96,3
55,41483,2014,1,
56,41001,2014,1769,51
57,41503,2014,3,
58,41518,2014,2,
59,41524,2014,34,1
60,41530,2014,3,
61,41548,2014,8,
62,41551,2014,214,14
63,41615,2014,70,3
64,41660,2014,1,
65,41668,2014,7,
66,41676,2014,9,1
67,41770,2014,5,
68,41791,2014,29,2
69,41799,2014,26,1
70,41801,2014,25,
71,41797,2014,18,
72,41807,2014,23,3
73,41872,2014,8,
74,41885,2014,67,7
75,41006,2013,7,1
76,41013,2013,1,
77,41016,2013,58,
78,41020,2013,74,2
79,41026,2013,0,0
80,41078,2013,4,1
81,41132,2013,46,1
82,41206,2013,17,
83,41244,2013,0,
84,41298,2013,106,3
85,41306,2013,1,0
86,41319,2013,33,2
87,41349,2013,55,0
88,41357,2013,8,0
89,41359,2013,2,0
90,41378,2013,2,0
91,41396,2013,22,1
92,41483,2013,3,0
93,41001,2013,983,37
94,41503,2013,1,0
95,41518,2013,23,1
96,41524,2013,72,2
97,41530,2013,2,0
98,41548,2013,4,0
99,41551,2013,145,5
100,41615,2013,53,4
101,41660,2013,3,0
102,41668,2013,9,0
103,41676,2013,1,0
104,41770,2013,11,1
105,41791,2013,9,0
106,41799,2013,12,0
107,41801,2013,8,0
108,41797,2013,74,8
109,41807,2013,20,1
110,41872,2013,11,0
111,41885,2013,18,0
112,41006,2010,1,1
113,41013,2010,0,0
114,41016,2010,0,6
115,41020,2010,1,6
116,41026,2010,2,2
117,41078,2010,0,0
118,41132,2010,22,7
119,41206,2010,0,0
120,41244,2010,0,0
121,41298,2010,2,56
122,41306,2010,0,9
123,41319,2010,1,3
124,41349,2010,0,4
125,41357,2010,1,20
126,41359,2010,1,2
127,41378,2010,1,0
128,41396,2010,7,66
129,41483,2010,0,10
130,41001,2010,133,415
131,41503,2010,0,1
132,41518,2010,1,13
133,41524,2010,4,21
134,41530,2010,0,0
135,41548,2010,1,0
136,41551,2010,11,72
137,41615,2010,0,6
138,41660,2010,0,0
139,41668,2010,1,6
140,41676,2010,0,0
141,41770,2010,0,0
142,41791,2010,0,3
143,41799,2010,2,1
144,41801,2010,1,1
145,41797,2010,1,37
146,41807,2010,1,5
147,41872,2010,0,0
148,41885,2010,6,4
149,41006,2009,8,5
150,41013,2009,2,0
151,41016,2009,12,4
152,41020,2009,6,3
153,41026,2009,1,0
154,41078,2009,0,1
155,41132,2009,11,7
156,41206,2009,0,0
157,41244,2009,1,0
158,41298,2009,61,8
159,41306,2009,49,7
160,41319,2009,3,0
161,41349,2009,9,2
162,41357,2009,12,0
163,41359,2009,2,0
164,41378,2009,1,1
165,41396,2009,40,14
166,41483,2009,1,0
167,41001,2009,762,350
168,41503,2009,1,0
169,41518,2009,0,0
170,41524,2009,40,13
171,41530,2009,1,0
172,41548,2009,0,2
173,41551,2009,170,29
174,41615,2009,7,6
175,41660,2009,0,2
176,41668,2009,9,1
177,41676,2009,7,2
178,41770,2009,2,1
179,41791,2009,0,0
180,41799,2009,44,3
181,41801,2009,8,5
182,41797,2009,7,6
183,41807,2009,20,4
184,41872,2009,4,1
185,41885,2009,1,2
186,41006,2008,19,1
187,41013,2008,2,0
188,41016,2008,0,3
189,41020,2008,8,2
190,41078,2008,0,3
191,41132,2008,7,3
192,41206,2008,4,2
193,41244,2008,0,1
194,41298,2008,67,9
195,41306,2008,5,3
196,41319,2008,10,0
197,41349,2008,1,0
198,41357,2008,1,0
199,41359,2008,1,0
200,41396,2008,7,1
201,41001,2008,248,173
202,41518,2008,4,0
203,41524,2008,20,9
204,41548,2008,2,0
205,41551,2008,26,1
206,41615,2008,1,0
207,41791,2008,15,3
208,41799,2008,4,0
209,41801,2008,1,2
210,41797,2008,10,0
211,41807,2008,9,2
212,41872,2008,1,0
213,41885,2008,17,1
214,41006,2004,2,0
215,41013,2004,7,1
216,41016,2004,7,0
217,41020,2004,30,6
218,41026,2004,0,0
219,41078,2004,16,6
220,41132,2004,48,15
221,41206,2004,1,0
222,41298,2004,15,0
223,41306,2004,2,0
224,41319,2004,0,0
225,41349,2004,12,1
226,41357,2004,20,1
227,41378,2004,0,0
228,41396,2004,153,6
229,41483,2004,2,0
230,41001,2004,459,136
231,41518,2004,8,0
232,41524,2004,33,3
233,41548,2004,21,0
234,41551,2004,72,3
235,41615,2004,7,3
236,41668,2004,0,0
237,41676,2004,3,0
238,41770,2004,4,2
239,41791,2004,18,0
240,41799,2004,12,2
241,41801,2004,1,0
242,41797,2004,39,3
243,41807,2004,5,1
244,41872,2004,4,4
245,41885,2004,6,1
246,41006,2003,1,0
247,41013,2003,8,0
248,41016,2003,7,3
249,41020,2003,4,0
250,41026,2003,6,0
251,41078,2003,17,2
252,41132,2003,2,0
253,41206,2003,4,0
254,41298,2003,20,1
255,41306,2003,0,2
256,41319,2003,11,0
257,41349,2003,15,7
258,41357,2003,19,1
259,41378,2003,1,0
260,41396,2003,10,0
261,41483,2003,3,0
262,41001,2003,228,52
263,41518,2003,9,0
264,41524,2003,17,7
265,41548,2003,18,0
266,41551,2003,26,3
267,41615,2003,5,1
268,41668,2003,4,0
269,41770,2003,8,0
270,41791,2003,26,0
271,41799,2003,2,1
272,41801,2003,12,1
273,41797,2003,18,0
274,41807,2003,14,0
275,41872,2003,1,0
276,41885,2003,92,25
277,41006,2002,4,0
278,41013,2002,6,2
279,41020,2002,0,1
280,41026,2002,1,0
281,41078,2002,11,0
282,41132,2002,6,2
283,41298,2002,30,9
284,41306,2002,1,2
285,41319,2002,11,0
286,41349,2002,27,19
287,41357,2002,34,1
288,41378,2002,0,0
289,41396,2002,47,6
290,41001,2002,261,96
291,41518,2002,27,0
292,41524,2002,3,3
293,41548,2002,4,0
294,41551,2002,31,1
295,41615,2002,2,3
296,41668,2002,2,0
297,41770,2002,3,0
298,41791,2002,0,2
299,41799,2002,1,0
300,41801,2002,14,5
301,41797,2002,12,5
302,41807,2002,6,0
303,41872,2002,1,0
304,41885,2002,32,4
305,41006,2001,2,0
306,41013,2001,7,0
307,41016,2001,32,3
308,41026,2001,3,0
309,41078,2001,18,2
310,41132,2001,18,3
311,41206,2001,1,0
312,41244,2001,0,0
313,41298,2001,32,4
314,41306,2001,15,3
315,41319,2001,15,0
316,41349,2001,16,0
317,41357,2001,25,3
318,41378,2001,0,0
319,41396,2001,64,7
320,41483,2001,1,0
321,41001,2001,525,101
322,41518,2001,10,4
323,41524,2001,36,14
324,41548,2001,11,0
325,41551,2001,9,0
326,41615,2001,7,2
327,41660,2001,0,0
328,41668,2001,3,0
329,41676,2001,3,0
330,41770,2001,2,0
331,41791,2001,1,0
332,41799,2001,10,3
333,41801,2001,10,2
334,41797,2001,34,2
335,41807,2001,1,0
336,41872,2001,2,0
337,41885,2001,26,0
