dnut_codigo,dnut_codMunicipio,dnut_anio,dnut_edad,dnut_numGlobal,dnut_porcentajeDesnuGlobal,dnut_numDesnCronica,dnut_porcentajeDesnCronica,dnut_numDesnAguda,dnut_porcentajeDesnAguda
1,41006,2015,,256,4.1230471896,705,11.3544854244,131,2.109840554
2,41013,2015,,47,5.4335260116,95,10.9826589595,20,2.3121387283
3,41016,2015,,53,3.6103542234,68,4.6321525886,67,4.5640326975
4,41020,2015,,120,3.2223415682,263,7.0622986037,141,3.7862513426
5,41026,2015,,7,2.2950819672,37,12.131147541,5,1.6393442623
6,41078,2015,,42,4.2042042042,67,6.7067067067,64,6.4064064064
7,41132,2015,,94,2.7262180974,222,6.4385150812,69,2.0011600928
8,41206,2015,,49,4.6226415094,111,10.4716981132,36,3.3962264151
9,41244,2015,,9,2.73556231,19,5.7750759878,6,1.8237082067
10,41298,2015,,228,2.6937618147,716,8.4593572779,104,1.2287334594
11,41306,2015,,102,3.6402569593,230,8.2084225553,120,4.2826552463
12,41319,2015,,54,2.1704180064,191,7.6768488746,29,1.1655948553
13,41349,2015,,48,3.3333333333,95,6.5972222222,23,1.5972222222
14,41357,2015,,72,3.9867109635,248,13.7320044297,44,2.4363233666
15,41359,2015,,210,4.6583850932,723,16.0381543922,61,1.3531499556
16,41378,2015,,127,4.8417842165,393,14.9828440717,68,2.5924513915
17,41396,2015,,125,2.4159257828,569,10.9972941631,93,1.7974487824
18,41483,2015,,22,2.328042328,214,22.6455026455,8,0.8465608466
19,41001,2015,,849,3.2358882494,1392,5.305484621,787,2.9995807447
20,41503,2015,,32,2.0605280103,204,13.1358660657,19,1.2234385061
21,41518,2015,,18,1.9543973941,86,9.3376764387,34,3.6916395223
22,41524,2015,,73,3.3455545371,190,8.7076076994,50,2.2914757104
23,41530,2015,,61,6.2118126273,106,10.7942973523,49,4.9898167006
24,41548,2015,,45,2.4038461538,235,12.5534188034,26,1.3888888889
25,41551,2015,,541,3.654664595,1947,13.1527393096,229,1.5469837195
26,41615,2015,,63,3.6542923434,94,5.4524361949,68,3.9443155452
27,41660,2015,,23,2.2977022977,137,13.6863136863,26,2.5974025974
