hos_codigo,hos_codMunicipio,hos_anio,hos_num_camas,hos_num_egresos,hos_dias_camas_disponibles,hos_dias_camas_ocupadas,hos_porc_ocupacional,hos_dias_estancia_egresos,hos_giros_camas,hos_promedio_estancia
1,41006,2016,10,1013,4,361,99,10019,101.3,0.4
2,41013,2016,4,109,13,352,96,2625,27.25,3.2
3,41016,2016,14,364,4,361,99,9000,26,1
4,41020,2016,7,791,2,363,99,19675,113,0.5
5,41026,2016,0,0,0,0,0,0,0,0
6,41078,2016,8,177,8,357,98,4325,22125,2
7,41132,2016,5,697,2,363,99,17325,139.4,0.5
8,41206,2016,7,75,19,346,95,1775,10.7,4.6
9,41244,2016,0,0,0,0,0,0,0,0
10,41298,2016,100,14691,2,363,99,14591,146.9,0
11,41306,2016,17,241,26,339,93,1318,14.2,1.4
12,41319,2016,7,330,8,357,98,4614,47.1,1.1
13,41349,2016,8,273,11,354,97,3313,34125,1.3
14,41357,2016,7,187,14,351,96,2571,26.7,1.9
15,41359,2016,8,769,4,361,99,9513,96.1,0.5
16,41378,2016,53,6814,3,362,99,12757,128.6,0.1
17,41396,2016,8,91,32,333,91,1038,11.4,3.7
18,41483,2016,6,62,35,330,90,933,10.3,5.3
19,41001,2016,459,20284,8,357,98,4319,44.2,0
20,41503,2016,4,61,24,341,93,1425,15.25,5.6
21,41518,2016,14,219,23,342,94,1464,15.6,1.6
22,41524,2016,0,19,0,365,100,0,0,19.2
23,41530,2016,9,688,5,360,99,7544,76.4,0.5
24,41548,2016,125,14370,3,362,99,11396,114.96,0
25,41551,2016,10,364,10,355,97,3540,36.4,1
26,41615,2016,9,347,9,356,97,3756,38.6,1
27,41660,2016,10,175,21,344,94,1650,17.5,2
28,41668,2016,5,148,12,353,97,2860,29.6,2.4
29,41676,2016,15,275,20,345,95,1733,18.3,1.3
30,41770,2016,7,388,7,358,98,5443,55.4,0.9
31,41791,2016,6,462,5,360,99,7600,77,0.8
32,41799,2016,7,90,28,337,92,1186,12.9,3.7
33,41801,2016,6,138,16,349,96,2200,23,2.5
34,41797,2016,5,546,3,362,99,10820,109,0.7
35,41807,2016,9,209,16,349,96,2222,23.22,1.7
36,41872,2016,9,86,38,327,90,856,9.56,3.8
37,41885,2016,6,19,115,250,68,217,3.17,13.1
38,41006,2014,10,1013,4,361,99,10019,101.3,0.4
39,41013,2014,4,109,13,352,96,2625,27.25,3.2
40,41016,2014,14,364,4,361,99,9000,26,1
41,41020,2014,7,791,2,363,99,19675,113,0.5
42,41026,2014,0,0,0,0,0,0,0,0
43,41078,2014,8,177,8,357,98,4325,22125,2
44,41132,2014,5,697,2,363,99,17325,139.4,0.5
45,41206,2014,7,75,19,346,95,1775,10.7,4.6
46,41244,2014,0,0,0,0,0,0,0,0
47,41298,2014,100,14691,2,363,99,14591,146.9,0
48,41306,2014,17,241,26,339,93,1318,14.2,1.4
49,41319,2014,7,330,8,357,98,4614,47.1,1.1
50,41349,2014,8,273,11,354,97,3313,34125,1.3
51,41357,2014,7,187,14,351,96,2571,26.7,1.9
52,41359,2014,8,769,4,361,99,9513,96.1,0.5
53,41378,2014,53,6814,3,362,99,12757,128.6,0.1
54,41396,2014,8,91,32,333,91,1038,11.4,3.7
55,41483,2014,6,62,35,330,90,933,10.3,5.3
56,41001,2014,459,20284,8,357,98,4319,44.2,0
57,41503,2014,4,61,24,341,93,1425,15.25,5.6
58,41518,2014,14,219,23,342,94,1464,15.6,1.6
59,41524,2014,0,19,0,365,100,0,0,19.2
60,41530,2014,9,688,5,360,99,7544,76.4,0.5
61,41548,2014,125,14370,3,362,99,11396,114.96,0
62,41551,2014,10,364,10,355,97,3540,36.4,1
63,41615,2014,9,347,9,356,97,3756,38.6,1
64,41660,2014,10,175,21,344,94,1650,17.5,2
65,41668,2014,5,148,12,353,97,2860,29.6,2.4
66,41676,2014,15,275,20,345,95,1733,18.3,1.3
67,41770,2014,7,388,7,358,98,5443,55.4,0.9
68,41791,2014,6,462,5,360,99,7600,77,0.8
69,41799,2014,7,90,28,337,92,1186,12.9,3.7
70,41801,2014,6,138,16,349,96,2200,23,2.5
71,41797,2014,5,546,3,362,99,10820,109,0.7
72,41807,2014,9,209,16,349,96,2222,23.22,1.7
73,41872,2014,9,86,38,327,90,856,9.56,3.8
74,41885,2014,6,19,115,250,68,217,3.17,13.1
75,41006,2013,10,340,2574,815,0,316627817,1181,34
76,41013,2013,4,270,938,526,0,560767591,519,67
77,41016,2013,14,648,3570,1731,0,48487395,1505,46
78,41020,2013,7,826,2562,1909,0,745120999,1932,118
79,41026,2013,0,0,0,0,0,0,0,0
80,41078,2013,8,223,2928,386,0,131830601,415,27
81,41132,2013,5,536,1830,1210,0,661202186,1210,107
82,41206,2013,7,140,324,36,0,111111111,311,20
83,41244,2013,0,0,0,0,0,0,0,0
84,41298,2013,107,9885,34210,29242,0,854779304,30915,92
85,41306,2013,17,498,4559,1141,0,250274183,1032,29
86,41319,2013,9,574,3240,824,0,254320988,824,63
87,41349,2013,8,85,2787,125,0,44851094,145,10
88,41357,2013,7,175,1200,344,0,286666667,324,25
89,41359,2013,7,385,2880,959,0,332986111,960,55
