mai_codigo,mai_codMunicipio,mai_anio,mai_tipo_modalidades,mai_tipo_dato_modalidad,mai_numero
1,41006,2016,1,1,39
2,41013,2016,1,1,15
3,41016,2016,1,1,23
4,41020,2016,1,1,20
5,41026,2016,1,1,8
6,41078,2016,1,1,11
7,41132,2016,1,1,62
8,41206,2016,1,1,1
9,41244,2016,1,1,3
10,41298,2016,1,1,112
11,41306,2016,1,1,43
12,41319,2016,1,1,36
13,41349,2016,1,1,4
14,41357,2016,1,1,22
15,41359,2016,1,1,52
16,41378,2016,1,1,22
17,41396,2016,1,1,128
18,41483,2016,1,1,5
19,41001,2016,1,1,490
20,41503,2016,1,1,30
21,41518,2016,1,1,13
22,41524,2016,1,1,22
23,41530,2016,1,1,9
24,41548,2016,1,1,24
25,41551,2016,1,1,176
26,41615,2016,1,1,27
27,41660,2016,1,1,21
28,41668,2016,1,1,57
29,41676,2016,1,1,24
30,41770,2016,1,1,22
31,41791,2016,1,1,43
32,41799,2016,1,1,24
33,41801,2016,1,1,0
34,41797,2016,1,1,28
35,41807,2016,1,1,37
36,41872,2016,1,1,4
37,41885,2016,1,1,8
38,41006,2016,1,2,546
39,41013,2016,1,2,210
40,41016,2016,1,2,322
41,41020,2016,1,2,280
42,41026,2016,1,2,112
43,41078,2016,1,2,154
44,41132,2016,1,2,868
45,41206,2016,1,2,14
46,41244,2016,1,2,42
47,41298,2016,1,2,1568
48,41306,2016,1,2,602
49,41319,2016,1,2,504
50,41349,2016,1,2,56
51,41357,2016,1,2,308
52,41359,2016,1,2,728
53,41378,2016,1,2,308
54,41396,2016,1,2,1792
55,41483,2016,1,2,70
56,41001,2016,1,2,6860
57,41503,2016,1,2,420
58,41518,2016,1,2,182
59,41524,2016,1,2,308
60,41530,2016,1,2,126
61,41548,2016,1,2,336
62,41551,2016,1,2,2464
63,41615,2016,1,2,378
64,41660,2016,1,2,294
65,41668,2016,1,2,798
66,41676,2016,1,2,336
67,41770,2016,1,2,308
68,41791,2016,1,2,602
69,41799,2016,1,2,336
70,41801,2016,1,2,0
71,41797,2016,1,2,392
72,41807,2016,1,2,518
73,41872,2016,1,2,56
74,41885,2016,1,2,112
75,41006,2016,1,3,828548019
76,41013,2016,1,3,305173821
77,41016,2016,1,3,488630883
78,41020,2016,1,3,424775604
79,41026,2016,1,3,208891686
80,41078,2016,1,3,233693031
81,41132,2016,1,3,1316534550
82,41206,2016,1,3,21244821
83,41244,2016,1,3,63734463
84,41298,2016,1,3,2305504584
85,41306,2016,1,3,913354842
86,41319,2016,1,3,764813556
87,41349,2016,1,3,84931461
88,41357,2016,1,3,467151981
89,41359,2016,1,3,1102631514
90,41378,2016,1,3,467386062
91,41396,2016,1,3,2674036540
92,41483,2016,1,3,106224105
93,41001,2016,1,3,10411309731
94,41503,2016,1,3,637344630
95,41518,2016,1,3,276182673
96,41524,2016,1,3,467386062
97,41530,2016,1,3,190901349
98,41548,2016,1,3,509875704
99,41551,2016,1,3,3722622758
100,41615,2016,1,3,573413841
101,41660,2016,1,3,446141241
102,41668,2016,1,3,1210954797
103,41676,2016,1,3,509860602
104,41770,2016,1,3,444296898
105,41791,2016,1,3,947985924
106,41799,2016,1,3,579321499
107,41801,2016,1,3,0
108,41797,2016,1,3,594854988
109,41807,2016,1,3,779955514
110,41872,2016,1,3,84979284
111,41885,2016,1,3,169958568
112,41006,2016,2,1,2
113,41013,2016,2,1,0
114,41016,2016,2,1,1
115,41020,2016,2,1,1
116,41026,2016,2,1,0
117,41078,2016,2,1,0
118,41132,2016,2,1,1
119,41206,2016,2,1,1
120,41244,2016,2,1,1
121,41298,2016,2,1,2
122,41306,2016,2,1,2
123,41319,2016,2,1,1
124,41349,2016,2,1,0
125,41357,2016,2,1,1
126,41359,2016,2,1,1
127,41378,2016,2,1,1
128,41396,2016,2,1,2
129,41483,2016,2,1,1
130,41001,2016,2,1,8
131,41503,2016,2,1,0
132,41518,2016,2,1,0
133,41524,2016,2,1,1
134,41530,2016,2,1,1
135,41548,2016,2,1,1
136,41551,2016,2,1,4
137,41615,2016,2,1,1
138,41660,2016,2,1,3
139,41668,2016,2,1,1
140,41676,2016,2,1,1
141,41770,2016,2,1,1
142,41791,2016,2,1,1
143,41799,2016,2,1,1
144,41801,2016,2,1,1
145,41797,2016,2,1,0
146,41807,2016,2,1,1
147,41872,2016,2,1,1
148,41885,2016,2,1,0
149,41006,2016,2,2,140
150,41013,2016,2,2,0
151,41016,2016,2,2,130
152,41020,2016,2,2,80
153,41026,2016,2,2,0
154,41078,2016,2,2,0
155,41132,2016,2,2,42
156,41206,2016,2,2,100
157,41244,2016,2,2,70
158,41298,2016,2,2,256
159,41306,2016,2,2,80
160,41319,2016,2,2,177
161,41349,2016,2,2,0
162,41357,2016,2,2,70
163,41359,2016,2,2,112
164,41378,2016,2,2,30
165,41396,2016,2,2,214
166,41483,2016,2,2,80
167,41001,2016,2,2,1022
168,41503,2016,2,2,0
169,41518,2016,2,2,0
170,41524,2016,2,2,80
171,41530,2016,2,2,100
172,41548,2016,2,2,84
173,41551,2016,2,2,410
174,41615,2016,2,2,130
175,41660,2016,2,2,140
176,41668,2016,2,2,40
177,41676,2016,2,2,40
178,41770,2016,2,2,60
179,41791,2016,2,2,60
180,41799,2016,2,2,30
181,41801,2016,2,2,120
182,41797,2016,2,2,0
183,41807,2016,2,2,52
184,41872,2016,2,2,60
185,41885,2016,2,2,0
186,41006,2016,2,3,371893247
187,41013,2016,2,3,0
188,41016,2016,2,3,345347080
189,41020,2016,2,3,212531150
190,41026,2016,2,3,0
191,41078,2016,2,3,0
192,41132,2016,2,3,107057717
193,41206,2016,2,3,265670400
194,41244,2016,2,3,185969280
195,41298,2016,2,3,680116224
196,41306,2016,2,3,212529740
197,41319,2016,2,3,470222978
198,41349,2016,2,3,0
199,41357,2016,2,3,193554715
200,41359,2016,2,3,296951802
201,41378,2016,2,3,79701120
202,41396,2016,2,3,568534656
203,41483,2016,2,3,212531620
204,41001,2016,2,3,2713681904
205,41503,2016,2,3,0
206,41518,2016,2,3,0
207,41524,2016,2,3,212526920
208,41530,2016,2,3,265549584
209,41548,2016,2,3,223163136
210,41551,2016,2,3,1083504777
211,41615,2016,2,3,345371520
212,41660,2016,2,3,371435160
213,41668,2016,2,3,106144808
214,41676,2016,2,3,106268160
215,41770,2016,2,3,159402240
216,41791,2016,2,3,159402240
217,41799,2016,2,3,55102515
218,41801,2016,2,3,318804480
219,41797,2016,2,3,0
220,41807,2016,2,3,138148608
221,41872,2016,2,3,159402240
222,41885,2016,2,3,0
223,41006,2016,3,1,0
224,41013,2016,3,1,0
225,41016,2016,3,1,0
226,41020,2016,3,1,0
227,41026,2016,3,1,0
228,41078,2016,3,1,0
229,41132,2016,3,1,0
230,41206,2016,3,1,0
231,41244,2016,3,1,0
232,41298,2016,3,1,0
233,41306,2016,3,1,0
234,41319,2016,3,1,0
235,41349,2016,3,1,1
236,41357,2016,3,1,0
237,41359,2016,3,1,0
238,41378,2016,3,1,0
239,41396,2016,3,1,1
240,41483,2016,3,1,0
241,41001,2016,3,1,5
242,41503,2016,3,1,1
243,41518,2016,3,1,0
244,41524,2016,3,1,0
245,41530,2016,3,1,0
246,41548,2016,3,1,0
247,41551,2016,3,1,1
248,41615,2016,3,1,2
249,41660,2016,3,1,0
250,41668,2016,3,1,0
251,41676,2016,3,1,0
252,41770,2016,3,1,0
253,41791,2016,3,1,0
254,41799,2016,3,1,1
255,41801,2016,3,1,0
256,41797,2016,3,1,0
257,41807,2016,3,1,0
258,41872,2016,3,1,0
259,41885,2016,3,1,0
260,41006,2016,3,2,0
261,41013,2016,3,2,0
262,41016,2016,3,2,0
263,41020,2016,3,2,0
264,41026,2016,3,2,0
265,41078,2016,3,2,0
266,41132,2016,3,2,0
267,41206,2016,3,2,0
268,41244,2016,3,2,0
269,41298,2016,3,2,0
270,41306,2016,3,2,0
271,41319,2016,3,2,0
272,41349,2016,3,2,112
273,41357,2016,3,2,0
274,41359,2016,3,2,0
275,41378,2016,3,2,0
276,41396,2016,3,2,40
277,41483,2016,3,2,0
278,41001,2016,3,2,500
279,41503,2016,3,2,60
280,41518,2016,3,2,0
281,41524,2016,3,2,0
282,41530,2016,3,2,0
283,41548,2016,3,2,0
284,41551,2016,3,2,40
285,41615,2016,3,2,80
286,41660,2016,3,2,0
287,41668,2016,3,2,0
288,41676,2016,3,2,0
289,41770,2016,3,2,0
290,41791,2016,3,2,0
291,41799,2016,3,2,82
292,41801,2016,3,2,0
293,41797,2016,3,2,0
294,41807,2016,3,2,0
295,41872,2016,3,2,0
296,41885,2016,3,2,0
297,41006,2016,3,3,0
298,41013,2016,3,3,0
299,41016,2016,3,3,0
300,41020,2016,3,3,0
301,41026,2016,3,3,0
302,41078,2016,3,3,0
303,41132,2016,3,3,0
304,41206,2016,3,3,0
305,41244,2016,3,3,0
306,41298,2016,3,3,0
307,41306,2016,3,3,0
308,41319,2016,3,3,0
309,41349,2016,3,3,331436692
310,41357,2016,3,3,0
311,41359,2016,3,3,0
312,41378,2016,3,3,0
313,41396,2016,3,3,113991520
314,41483,2016,3,3,0
315,41001,2016,3,3,1435840838
316,41503,2016,3,3,170987280
317,41518,2016,3,3,0
318,41524,2016,3,3,0
319,41530,2016,3,3,0
320,41548,2016,3,3,0
321,41551,2016,3,3,118411520
322,41615,2016,3,3,227983040
323,41660,2016,3,3,0
324,41668,2016,3,3,0
325,41676,2016,3,3,0
326,41770,2016,3,3,0
327,41791,2016,3,3,0
328,41799,2016,3,3,232192438
329,41801,2016,3,3,0
330,41797,2016,3,3,0
331,41807,2016,3,3,0
332,41872,2016,3,3,0
333,41885,2016,3,3,0
334,41006,2016,4,1,0
335,41013,2016,4,1,0
336,41016,2016,4,1,0
337,41020,2016,4,1,3
338,41026,2016,4,1,0
339,41078,2016,4,1,3
340,41132,2016,4,1,0
341,41206,2016,4,1,4
342,41244,2016,4,1,0
343,41298,2016,4,1,0
344,41306,2016,4,1,0
345,41319,2016,4,1,0
346,41349,2016,4,1,0
347,41357,2016,4,1,0
348,41359,2016,4,1,0
349,41378,2016,4,1,0
350,41396,2016,4,1,0
351,41483,2016,4,1,0
352,41001,2016,4,1,5
353,41503,2016,4,1,0
354,41518,2016,4,1,0
355,41524,2016,4,1,1
356,41530,2016,4,1,0
357,41548,2016,4,1,0
358,41551,2016,4,1,0
359,41615,2016,4,1,4
360,41660,2016,4,1,0
361,41668,2016,4,1,0
362,41676,2016,4,1,0
363,41770,2016,4,1,0
364,41791,2016,4,1,0
365,41799,2016,4,1,1
366,41801,2016,4,1,0
367,41797,2016,4,1,0
368,41807,2016,4,1,0
369,41872,2016,4,1,2
370,41885,2016,4,1,0
371,41006,2016,4,2,0
372,41013,2016,4,2,0
373,41016,2016,4,2,0
374,41020,2016,4,2,151
375,41026,2016,4,2,0
376,41078,2016,4,2,151
377,41132,2016,4,2,0
378,41206,2016,4,2,205
379,41244,2016,4,2,0
380,41298,2016,4,2,0
381,41306,2016,4,2,0
382,41319,2016,4,2,0
383,41349,2016,4,2,0
384,41357,2016,4,2,0
385,41359,2016,4,2,0
386,41378,2016,4,2,0
387,41396,2016,4,2,0
388,41483,2016,4,2,0
389,41001,2016,4,2,224
390,41503,2016,4,2,0
391,41518,2016,4,2,0
392,41524,2016,4,2,50
393,41530,2016,4,2,0
394,41548,2016,4,2,0
395,41551,2016,4,2,0
396,41615,2016,4,2,212
397,41660,2016,4,2,0
398,41668,2016,4,2,0
399,41676,2016,4,2,0
400,41770,2016,4,2,0
401,41791,2016,4,2,0
402,41799,2016,4,2,21
403,41801,2016,4,2,0
404,41797,2016,4,2,0
405,41807,2016,4,2,0
406,41872,2016,4,2,64
407,41885,2016,4,2,0
408,41006,2016,4,3,0
409,41013,2016,4,3,0
410,41016,2016,4,3,0
411,41020,2016,4,3,318886814
412,41026,2016,4,3,0
413,41078,2016,4,3,318886814
414,41132,2016,4,3,0
415,41206,2016,4,3,432928943
416,41244,2016,4,3,0
417,41298,2016,4,3,0
418,41306,2016,4,3,0
419,41319,2016,4,3,0
420,41349,2016,4,3,0
421,41357,2016,4,3,0
422,41359,2016,4,3,0
423,41378,2016,4,3,0
424,41396,2016,4,3,0
425,41483,2016,4,3,0
426,41001,2016,4,3,473041256
427,41503,2016,4,3,0
428,41518,2016,4,3,0
429,41524,2016,4,3,105591375
430,41530,2016,4,3,0
431,41548,2016,4,3,0
432,41551,2016,4,3,0
433,41615,2016,4,3,447706632
434,41660,2016,4,3,0
435,41668,2016,4,3,0
436,41676,2016,4,3,0
437,41770,2016,4,3,0
438,41791,2016,4,3,0
439,41799,2016,4,3,44348819
440,41801,2016,4,3,0
441,41797,2016,4,3,0
442,41807,2016,4,3,0
443,41872,2016,4,3,135156204
444,41885,2016,4,3,0
