nac_codigo,nac_codMunicipio,nac_anio,nac_codArea,nac_genero,nac_numero_nacimientos
1,41006,2016,5,2,3
2,41013,2016,5,2,8
3,41016,2016,5,2,9
4,41020,2016,5,2,20
5,41026,2016,5,2,0
6,41078,2016,5,2,6
7,41132,2016,5,2,22
8,41206,2016,5,2,2
9,41244,2016,5,2,0
10,41298,2016,5,2,549
11,41306,2016,5,2,13
12,41319,2016,5,2,7
13,41349,2016,5,2,13
14,41357,2016,5,2,3
15,41359,2016,5,2,1
16,41378,2016,5,2,7
17,41396,2016,5,2,338
18,41483,2016,5,2,12
19,41001,2016,5,2,3706
20,41503,2016,5,2,2
21,41518,2016,5,2,3
22,41524,2016,5,2,8
23,41530,2016,5,2,0
24,41548,2016,5,2,12
25,41551,2016,5,2,950
26,41615,2016,5,2,7
27,41660,2016,5,2,1
28,41668,2016,5,2,4
29,41676,2016,5,2,5
30,41770,2016,5,2,12
31,41791,2016,5,2,7
32,41799,2016,5,2,6
33,41801,2016,5,2,4
34,41797,2016,5,2,9
35,41807,2016,5,2,1
36,41872,2016,5,2,2
37,41885,2016,5,2,2
38,41006,2016,5,1,7
39,41013,2016,5,1,18
40,41016,2016,5,1,9
41,41020,2016,5,1,26
42,41026,2016,5,1,0
43,41078,2016,5,1,5
44,41132,2016,5,1,27
45,41206,2016,5,1,4
46,41244,2016,5,1,0
47,41298,2016,5,1,629
48,41306,2016,5,1,13
49,41319,2016,5,1,9
50,41349,2016,5,1,9
51,41357,2016,5,1,2
52,41359,2016,5,1,
53,41378,2016,5,1,12
54,41396,2016,5,1,349
55,41483,2016,5,1,12
56,41001,2016,5,1,4004
57,41503,2016,5,1,1
58,41518,2016,5,1,2
59,41524,2016,5,1,10
60,41530,2016,5,1,1
61,41548,2016,5,1,12
62,41551,2016,5,1,1012
63,41615,2016,5,1,15
64,41660,2016,5,1,4
65,41668,2016,5,1,5
66,41676,2016,5,1,5
67,41770,2016,5,1,5
68,41791,2016,5,1,7
69,41799,2016,5,1,4
70,41801,2016,5,1,1
71,41797,2016,5,1,7
72,41807,2016,5,1,3
73,41872,2016,5,1,2
74,41885,2016,5,1,3
75,41006,2016,4,2,1
76,41013,2016,4,2,
77,41016,2016,4,2,3
78,41020,2016,4,2,7
79,41026,2016,4,2,0
80,41078,2016,4,2,1
81,41132,2016,4,2,2
82,41206,2016,4,2,1
83,41244,2016,4,2,0
84,41298,2016,4,2,219
85,41306,2016,4,2,7
86,41319,2016,4,2,4
87,41349,2016,4,2,0
88,41357,2016,4,2,9
89,41359,2016,4,2,0
90,41378,2016,4,2,3
91,41396,2016,4,2,144
92,41483,2016,4,2,0
93,41001,2016,4,2,387
94,41503,2016,4,2,1
95,41518,2016,4,2,0
96,41524,2016,4,2,0
97,41530,2016,4,2,0
98,41548,2016,4,2,0
99,41551,2016,4,2,415
100,41615,2016,4,2,3
101,41660,2016,4,2,1
102,41668,2016,4,2,1
103,41676,2016,4,2,0
104,41770,2016,4,2,12
105,41791,2016,4,2,7
106,41799,2016,4,2,1
107,41801,2016,4,2,0
108,41797,2016,4,2,2
109,41807,2016,4,2,2
110,41872,2016,4,2,1
111,41885,2016,4,2,0
112,41006,2016,4,1,2
113,41013,2016,4,1,0
114,41016,2016,4,1,1
115,41020,2016,4,1,5
116,41026,2016,4,1,0
117,41078,2016,4,1,0
118,41132,2016,4,1,0
119,41206,2016,4,1,0
120,41244,2016,4,1,0
121,41298,2016,4,1,207
122,41306,2016,4,1,8
123,41319,2016,4,1,3
124,41349,2016,4,1,0
125,41357,2016,4,1,8
126,41359,2016,4,1,1
127,41378,2016,4,1,6
128,41396,2016,4,1,173
129,41483,2016,4,1,0
130,41001,2016,4,1,382
131,41503,2016,4,1,2
132,41518,2016,4,1,0
133,41524,2016,4,1,3
134,41530,2016,4,1,0
135,41548,2016,4,1,0
136,41551,2016,4,1,457
137,41615,2016,4,1,2
138,41660,2016,4,1,1
139,41668,2016,4,1,1
140,41676,2016,4,1,1
141,41770,2016,4,1,12
142,41791,2016,4,1,3
143,41799,2016,4,1,4
144,41801,2016,4,1,0
145,41797,2016,4,1,5
146,41807,2016,4,1,4
147,41872,2016,4,1,4
148,41885,2016,4,1,0
149,41006,2016,3,2,15
150,41013,2016,3,2,7
151,41016,2016,3,2,7
152,41020,2016,3,2,15
153,41026,2016,3,2,0
154,41078,2016,3,2,4
155,41132,2016,3,2,8
156,41206,2016,3,2,15
157,41244,2016,3,2,0
158,41298,2016,3,2,430
159,41306,2016,3,2,11
160,41319,2016,3,2,34
161,41349,2016,3,2,3
162,41357,2016,3,2,33
163,41359,2016,3,2,10
164,41378,2016,3,2,24
165,41396,2016,3,2,491
166,41483,2016,3,2,18
167,41001,2016,3,2,483
168,41503,2016,3,2,7
169,41518,2016,3,2,2
170,41524,2016,3,2,9
171,41530,2016,3,2,5
172,41548,2016,3,2,23
