niji_codigo,niji_codMunicipio,niji_anio,niji_tipo_modalidades,niji_tipo_dato_modalidad,niji_numero
1,41298,2016,46,17,0
2,41396,2016,46,17,25
3,41001,2016,46,17,17
4,41551,2016,46,17,28
5,41298,2016,46,5,0
6,41396,2016,46,5,25
7,41001,2016,46,5,17
8,41551,2016,46,5,29
9,41298,2016,47,17,0
10,41396,2016,47,17,9
11,41001,2016,47,17,0
12,41551,2016,47,17,0
13,41298,2016,47,5,0
14,41396,2016,47,5,9
15,41001,2016,47,5,0
16,41551,2016,47,5,0
17,41298,2016,48,17,0
18,41396,2016,48,17,21
19,41001,2016,48,17,37
20,41551,2016,48,17,32
21,41298,2016,48,5,0
22,41396,2016,48,5,26
23,41001,2016,48,5,39
24,41551,2016,48,5,33
25,41298,2016,49,17,0
26,41396,2016,49,17,1
27,41001,2016,49,17,0
28,41551,2016,49,17,0
29,41298,2016,49,5,0
30,41396,2016,49,5,1
31,41001,2016,49,5,0
32,41551,2016,49,5,0
33,41298,2016,50,17,0
34,41396,2016,50,17,0
35,41001,2016,50,17,0
36,41551,2016,50,17,0
37,41298,2016,50,5,0
38,41396,2016,50,5,0
39,41001,2016,50,5,0
40,41551,2016,50,5,0
41,41298,2016,51,17,0
42,41396,2016,51,17,0
43,41001,2016,51,17,0
44,41551,2016,51,17,0
45,41298,2016,51,5,0
46,41396,2016,51,5,0
47,41001,2016,51,5,0
48,41551,2016,51,5,0
49,41298,2016,52,17,0
50,41396,2016,52,17,0
51,41001,2016,52,17,0
52,41551,2016,52,17,0
53,41298,2016,52,5,0
54,41396,2016,52,5,0
55,41001,2016,52,5,0
56,41551,2016,52,5,0
57,41298,2016,53,17,0
58,41396,2016,53,17,2
59,41001,2016,53,17,0
60,41551,2016,53,17,0
61,41298,2016,53,5,0
62,41396,2016,53,5,2
63,41001,2016,53,5,0
64,41551,2016,53,5,0
65,41298,2016,54,17,0
66,41396,2016,54,17,58
67,41001,2016,54,17,0
68,41551,2016,54,17,0
69,41298,2016,54,5,0
70,41396,2016,54,5,63
71,41001,2016,54,5,0
72,41551,2016,54,5,0
73,41298,2014,46,17,11
74,41396,2014,46,17,40
75,41001,2014,46,17,45
76,41551,2014,46,17,54
77,41298,2014,46,5,11
78,41396,2014,46,5,40
79,41001,2014,46,5,45
80,41551,2014,46,5,54
81,41298,2014,47,17,0
82,41396,2014,47,17,6
