orsa_codigo,orsa_codMunicipio,orsa_anio,orsa_tipo_organismos_salud,orsa_num_organismos_salud
1,41006,2014,1,1
2,41013,2014,1,1
3,41016,2014,1,1
4,41020,2014,1,1
5,41026,2014,1,0
6,41078,2014,1,1
7,41132,2014,1,1
8,41206,2014,1,1
9,41244,2014,1,1
10,41298,2014,1,1
11,41306,2014,1,1
12,41319,2014,1,1
13,41349,2014,1,1
14,41357,2014,1,1
15,41359,2014,1,1
16,41378,2014,1,1
17,41396,2014,1,2
18,41483,2014,1,1
19,41001,2014,1,1
20,41503,2014,1,1
21,41518,2014,1,1
22,41524,2014,1,1
23,41530,2014,1,1
24,41548,2014,1,1
25,41551,2014,1,1
26,41615,2014,1,1
27,41660,2014,1,1
28,41668,2014,1,1
29,41676,2014,1,1
30,41770,2014,1,1
31,41791,2014,1,1
32,41799,2014,1,1
33,41801,2014,1,1
34,41797,2014,1,1
35,41807,2014,1,1
36,41872,2014,1,1
37,41885,2014,1,1
38,41006,2014,2,
39,41013,2014,2,
40,41016,2014,2,
41,41020,2014,2,
42,41026,2014,2,
43,41078,2014,2,
44,41132,2014,2,
45,41206,2014,2,
46,41244,2014,2,
47,41298,2014,2,
48,41306,2014,2,
49,41319,2014,2,
50,41349,2014,2,
51,41357,2014,2,
52,41359,2014,2,
53,41378,2014,2,
54,41396,2014,2,
55,41483,2014,2,
56,41001,2014,2,3
57,41503,2014,2,
58,41518,2014,2,
59,41524,2014,2,
60,41530,2014,2,
61,41548,2014,2,
62,41551,2014,2,
63,41615,2014,2,
64,41660,2014,2,
65,41668,2014,2,
66,41676,2014,2,
67,41770,2014,2,
68,41791,2014,2,
69,41799,2014,2,
70,41801,2014,2,
71,41797,2014,2,
72,41807,2014,2,
73,41872,2014,2,
74,41885,2014,2,
75,41006,2014,3,
76,41013,2014,3,
77,41016,2014,3,
78,41020,2014,3,
79,41026,2014,3,
80,41078,2014,3,
81,41132,2014,3,
82,41206,2014,3,
83,41244,2014,3,
84,41298,2014,3,
85,41306,2014,3,
86,41319,2014,3,
87,41349,2014,3,
88,41357,2014,3,
89,41359,2014,3,
90,41378,2014,3,
91,41396,2014,3,
92,41483,2014,3,
93,41001,2014,3,
94,41503,2014,3,
95,41518,2014,3,
96,41524,2014,3,
97,41530,2014,3,
98,41548,2014,3,
99,41551,2014,3,
100,41615,2014,3,
101,41660,2014,3,
102,41668,2014,3,
103,41676,2014,3,
104,41770,2014,3,
105,41791,2014,3,
106,41799,2014,3,
107,41801,2014,3,
108,41797,2014,3,
109,41807,2014,3,
110,41872,2014,3,
111,41885,2014,3,
112,41006,2014,4,
113,41013,2014,4,
114,41016,2014,4,
115,41020,2014,4,
116,41026,2014,4,
117,41078,2014,4,
118,41132,2014,4,
119,41206,2014,4,
120,41244,2014,4,
121,41298,2014,4,
122,41306,2014,4,
123,41319,2014,4,
124,41349,2014,4,
125,41357,2014,4,
126,41359,2014,4,
127,41378,2014,4,
128,41396,2014,4,
129,41483,2014,4,
130,41001,2014,4,7
131,41503,2014,4,
132,41518,2014,4,
133,41524,2014,4,
134,41530,2014,4,
