pva_codigo,pva_codMunicipio,pva_anio,pva_tipo_poblacion,pva_poblacionMeta
1,41006,2015,8,719
2,41013,2015,8,161
3,41016,2015,8,317
4,41020,2015,8,377
5,41026,2015,8,41
6,41078,2015,8,106
7,41132,2015,8,604
8,41206,2015,8,110
9,41244,2015,8,56
10,41298,2015,8,1461
11,41306,2015,8,373
12,41319,2015,8,349
13,41349,2015,8,153
14,41357,2015,8,226
15,41359,2015,8,464
16,41378,2015,8,249
17,41396,2015,8,1114
18,41483,2015,8,108
19,41001,2015,8,7207
20,41503,2015,8,266
21,41518,2015,8,113
22,41524,2015,8,385
23,41530,2015,8,248
24,41548,2015,8,269
25,41551,2015,8,2619
26,41615,2015,8,314
27,41660,2015,8,252
28,41668,2015,8,603
29,41676,2015,8,220
30,41770,2015,8,381
31,41791,2015,8,308
32,41799,2015,8,188
33,41801,2015,8,162
34,41797,2015,8,196
35,41807,2015,8,343
36,41872,2015,8,85
37,41885,2015,8,120
38,41006,2015,10,756
39,41013,2015,10,163
40,41016,2015,10,308
41,41020,2015,10,390
42,41026,2015,10,44
43,41078,2015,10,94
44,41132,2015,10,640
45,41206,2015,10,122
46,41244,2015,10,51
47,41298,2015,10,1466
48,41306,2015,10,414
49,41319,2015,10,340
50,41349,2015,10,159
51,41357,2015,10,220
52,41359,2015,10,475
53,41378,2015,10,284
54,41396,2015,10,1130
55,41483,2015,10,125
56,41001,2015,10,7281
57,41503,2015,10,275
58,41518,2015,10,100
59,41524,2015,10,387
60,41530,2015,10,253
61,41548,2015,10,284
62,41551,2015,10,2452
63,41615,2015,10,331
64,41660,2015,10,265
65,41668,2015,10,594
66,41676,2015,10,242
67,41770,2015,10,386
68,41791,2015,10,314
69,41799,2015,10,194
70,41801,2015,10,184
71,41797,2015,10,156
72,41807,2015,10,357
73,41872,2015,10,98
74,41885,2015,10,118
75,41006,2015,13,662
76,41013,2015,13,185
77,41016,2015,13,317
78,41020,2015,13,440
79,41026,2015,13,50
80,41078,2015,13,139
81,41132,2015,13,551
82,41206,2015,13,145
83,41244,2015,13,65
84,41298,2015,13,1390
85,41306,2015,13,435
86,41319,2015,13,386
87,41349,2015,13,128
88,41357,2015,13,237
89,41359,2015,13,488
90,41378,2015,13,319
91,41396,2015,13,1237
92,41483,2015,13,114
93,41001,2015,13,6727
94,41503,2015,13,274
95,41518,2015,13,105
96,41524,2015,13,390
97,41530,2015,13,236
98,41548,2015,13,260
99,41551,2015,13,2500
100,41615,2015,13,340
101,41660,2015,13,270
102,41668,2015,13,575
103,41676,2015,13,216
104,41770,2015,13,359
105,41791,2015,13,326
106,41799,2015,13,193
107,41801,2015,13,210
108,41797,2015,13,159
109,41807,2015,13,390
110,41872,2015,13,109
111,41885,2015,13,122
112,41006,2014,8,735
113,41013,2014,8,172
114,41016,2014,8,308
115,41020,2014,8,372
116,41026,2014,8,46
117,41078,2014,8,122
118,41132,2014,8,603
119,41206,2014,8,147
120,41244,2014,8,69
121,41298,2014,8,1480
122,41306,2014,8,413
123,41319,2014,8,346
124,41349,2014,8,147
125,41357,2014,8,247
126,41359,2014,8,507
127,41378,2014,8,295
128,41396,2014,8,1133
129,41483,2014,8,133
130,41001,2014,8,7308
131,41503,2014,8,296
132,41518,2014,8,113
133,41524,2014,8,358
134,41530,2014,8,259
135,41548,2014,8,314
136,41551,2014,8,2669
137,41615,2014,8,314
138,41660,2014,8,265
139,41668,2014,8,604
140,41676,2014,8,231
141,41770,2014,8,391
142,41791,2014,8,318
143,41799,2014,8,193
144,41801,2014,8,170
145,41797,2014,8,196
146,41807,2014,8,416
147,41872,2014,8,98
148,41885,2014,8,133
149,41006,2014,10,716
150,41013,2014,10,171
151,41016,2014,10,308
152,41020,2014,10,366
153,41026,2014,10,44
154,41078,2014,10,120
155,41132,2014,10,603
156,41206,2014,10,145
157,41244,2014,10,71
158,41298,2014,10,1451
159,41306,2014,10,415
160,41319,2014,10,339
161,41349,2014,10,147
162,41357,2014,10,242
163,41359,2014,10,491
164,41378,2014,10,285
165,41396,2014,10,1220
166,41483,2014,10,128
167,41001,2014,10,7369
168,41503,2014,10,285
169,41518,2014,10,108
170,41524,2014,10,356
171,41530,2014,10,259
172,41548,2014,10,304
173,41551,2014,10,2647
174,41615,2014,10,322
175,41660,2014,10,291
176,41668,2014,10,598
177,41676,2014,10,230
178,41770,2014,10,381
179,41791,2014,10,310
180,41799,2014,10,189
181,41801,2014,10,170
182,41797,2014,10,194
183,41807,2014,10,412
184,41872,2014,10,99
185,41885,2014,10,131
186,41006,2014,13,664
187,41013,2014,13,163
188,41016,2014,13,317
189,41020,2014,13,483
190,41026,2014,13,50
191,41078,2014,13,137
192,41132,2014,13,570
193,41206,2014,13,150
194,41244,2014,13,57
195,41298,2014,13,1394
196,41306,2014,13,422
197,41319,2014,13,387
198,41349,2014,13,131
199,41357,2014,13,237
200,41359,2014,13,488
201,41378,2014,13,333
202,41396,2014,13,1246
203,41483,2014,13,114
204,41001,2014,13,6608
205,41503,2014,13,256
206,41518,2014,13,111
207,41524,2014,13,393
208,41530,2014,13,233
209,41548,2014,13,268
210,41551,2014,13,2588
211,41615,2014,13,344
212,41660,2014,13,271
213,41668,2014,13,579
214,41676,2014,13,225
215,41770,2014,13,367
216,41791,2014,13,340
217,41799,2014,13,207
218,41801,2014,13,168
219,41797,2014,13,198
220,41807,2014,13,400
221,41872,2014,13,109
222,41885,2014,13,126
223,41006,2013,8,750
224,41013,2013,8,172
225,41016,2013,8,324
226,41020,2013,8,390
