pmort_codigo,pmort_anio,pmort_tipo_causa,pmort_defunciones,pmort_porcentaje
1,2016,1,682,
2,2016,2,255,
3,2016,3,243,
4,2016,4,188,
5,2016,5,179,
6,2016,6,163,
7,2016,7,159,
8,2016,8,153,
9,2016,9,148,
10,2016,10,135,
11,2016,11,115,
12,2016,12,113,
13,2016,13,106,
14,2016,14,101,
15,2016,15,79,
16,2015,1,948,
17,2015,3,391,
18,2015,2,357,
19,2015,4,244,
20,2015,7,228,
21,2015,5,204,
22,2015,6,197,
23,2015,9,188,
24,2015,10,181,
25,2015,12,170,
26,2015,8,167,
27,2015,16,132,
28,2015,14,124,
29,2015,13,115,
30,2015,17,108,
31,2014,1,885,18.2
32,2014,2,304,6.3
33,2014,3,291,6
34,2014,6,197,4.1
35,2014,4,186,3.8
36,2014,9,183,3.8
37,2014,8,180,3.7
38,2014,7,164,3.4
39,2014,14,163,3.4
40,2014,12,158,3.2
41,2014,5,157,3.2
42,2014,10,131,2.7
43,2014,13,110,2.3
44,2014,11,94,1.9
45,2014,18,91,1.9
46,2013,1,657,
47,2013,2,290,
48,2013,3,212,
49,2013,6,201,
50,2013,4,134,
51,2013,9,151,
52,2013,8,123,
53,2013,7,124,
54,2013,14,126,
55,2013,12,123,
56,2013,5,157,
57,2013,10,118,
58,2013,13,73,
59,2013,19,72,
60,2013,18,69,
