tub_codigo,tub_codMunicipio,tub_anio,tub_poblacion,tub_incidencia,tub_tasa_habitantes
1,41006,2016,33623,4,12
2,41013,2016,9113,2,22
3,41016,2016,26950,2,7
4,41020,2016,24564,2,8
5,41026,2016,4377,0,
6,41078,2016,9646,3,31
7,41132,2016,34470,11,32
8,41206,2016,12534,0,
9,41244,2016,3988,0,
10,41298,2016,90187,15,17
11,41306,2016,33869,0,
12,41319,2016,21666,3,14
13,41349,2016,6957,0,
14,41357,2016,12959,5,39
15,41359,2016,27485,0,
16,41378,2016,14271,2,14
17,41396,2016,63828,7,11
18,41483,2016,6389,0,
19,41001,2016,344026,184,53
20,41503,2016,13830,0,
21,41518,2016,5606,0,
22,41524,2016,33253,1,3
23,41530,2016,11690,1,9
24,41548,2016,13772,0,
25,41551,2016,128263,18,14
26,41615,2016,18994,23,121
27,41660,2016,11581,1,9
28,41668,2016,33202,3,9
29,41676,2016,11450,4,35
30,41770,2016,19494,6,31
31,41791,2016,17763,0,
32,41799,2016,14273,3,21
33,41801,2016,8787,0,
34,41797,2016,9280,1,11
35,41807,2016,20350,3,15
36,41872,2016,7315,2,27
37,41885,2016,9064,1,11
38,41006,2014,32208,9,
39,41013,2014,9005,22,
40,41016,2014,25536,20,
41,41020,2014,24427,8,
42,41026,2014,4224,24,
43,41078,2014,9575,10,
44,41132,2014,34133,35,
45,41206,2014,12293,8,
46,41244,2014,3865,0,
47,41298,2014,86249,26,
48,41306,2014,32784,15,
49,41319,2014,20887,10,
50,41349,2014,6892,0,
51,41357,2014,12518,24,
52,41359,2014,26788,7,
53,41378,2014,13756,15,
54,41396,2014,61644,23,
55,41483,2014,6286,0,
56,41001,2014,340046,44,
57,41503,2014,13226,15,
58,41518,2014,5525,0,
59,41524,2014,32105,19,
60,41530,2014,11430,52,
61,41548,2014,13593,22,
62,41551,2014,123430,19,
63,41615,2014,18591,65,
64,41660,2014,11341,9,
65,41668,2014,32586,31,
66,41676,2014,11246,9,
67,41770,2014,18465,16,
68,41791,2014,17436,0,
