CODIGO DANE;MUNICIPIO;A¥O;MES;RESIDENCIAL;COMERCIAL;INDUSTRIAL;OFICIAL;TOTAL
41016;AIPE;2016;ENERO;35931,34;987,48;0;0;NEIVA
41016;AIPE;2016;FEBRERO;38439;1015,52;0;25,25;
41016;AIPE;2016;MARZO;35692,39;908,83;0;11,22;
41016;AIPE;2016;ABRIL;35267,99;901,84;0;10,3;
41016;AIPE;2016;MAYO;39396,09;987,7;0;25,27;
41016;AIPE;2016;JUNIO;37422,18;871,07;0;18,73;
41016;AIPE;2016;JULIO;39213,11;934,91;0;5,62;
41016;AIPE;2016;AGOSTO;38776,8;926,42;0;24,35;
41016;AIPE;2016;SEPTIEMBRE;35046,31;960,85;0;20,6;
41016;AIPE;2016;OCTUBRE;38803,42;1000,65;0;11,24;
41016;AIPE;2016;NOVIEMBRE;37010,39;988,13;0;19,66;
41016;AIPE;2016;DICIEMBRE;35624,53;1230,9;0;10,3;
41020;ALGECIRAS;2016;ENERO;37972,64;3572,75;0;389,96;AIPE
41020;ALGECIRAS;2016;FEBRERO;39502,76;2912,39;0;620,31;
41020;ALGECIRAS;2016;MARZO;41900,72;3164,79;0;715,96;
41020;ALGECIRAS;2016;ABRIL;41210,35;3195,35;0;501,23;
41020;ALGECIRAS;2016;MAYO;40847,48;3244,97;0;675,56;
41020;ALGECIRAS;2016;JUNIO;39807,46;3631,28;0;962,54;
41020;ALGECIRAS;2016;JULIO;40961,18;3978,22;0;802,33;
41020;ALGECIRAS;2016;AGOSTO;41638,34;3558,82;0;840,8;
41020;ALGECIRAS;2016;SEPTIEMBRE;44046,88;3876,28;0;1298,32;
41020;ALGECIRAS;2016;OCTUBRE;43515,41;3591,97;0;1028,08;
41020;ALGECIRAS;2016;NOVIEMBRE;41091,17;3451,32;0;1112,1;
41020;ALGECIRAS;2016;DICIEMBRE;41256,52;3788,78;0;1016,44;
41078;BARAYA;2016;ENERO;11586,87;670,01;0;69,19;ALGECIRAS
41078;BARAYA;2016;FEBRERO;13344,33;710,79;0;160,65;AIPE
41078;BARAYA;2016;MARZO;12557,57;726,66;0;239,79;
41078;BARAYA;2016;ABRIL;13135,08;725,35;0;105,73;
41078;BARAYA;2016;MAYO;11717,98;805,04;0;160,28;
41078;BARAYA;2016;JUNIO;13195,76;881,72;0;330,54;
41078;BARAYA;2016;JULIO;11799,09;591,13;0;181,85;
41078;BARAYA;2016;AGOSTO;12591,27;474,12;0;176,3;
41078;BARAYA;2016;SEPTIEMBRE;13146,48;517,35;0;256,23;
41078;BARAYA;2016;OCTUBRE;13325,53;535,71;0;186,39;
41078;BARAYA;2016;NOVIEMBRE;12530,62;505,78;0;192,02;
41078;BARAYA;2016;DICIEMBRE;13461,71;494,01;0;210,25;
41132;CAMPOALEGRE;2016;ENERO;90877,28;4018,75;202,09;6,55;BARAYA
41132;CAMPOALEGRE;2016;FEBRERO;91055,55;3786,14;453,54;32,62;
41132;CAMPOALEGRE;2016;MARZO;87356,22;3401,96;485,77;;
41132;CAMPOALEGRE;2016;ABRIL;92315,54;3726,64;444,89;24,23;
41132;CAMPOALEGRE;2016;MAYO;93577,9;3832,8;313,71;28,89;
41132;CAMPOALEGRE;2016;JUNIO;90309,14;3627,77;447,76;20,48;CAMPOALEGRE
