CODIGO DANE,MUNICIPIO,ESTRATO,Año,Mes,CONSUMO,USUARIOS,,"10,5794392523"
41016,AIPE,Residencial,2016,ENERO,35931.34,3382,,
41016,AIPE,Residencial,2016,FEBRERO,38439,3379,,
41016,AIPE,Residencial,2016,MARZO,35692.39,3389,,
41016,AIPE,Residencial,2016,ABRIL,35267.99,3387,,
41016,AIPE,Residencial,2016,MAYO,39396.09,3394,,
41016,AIPE,Residencial,2016,JUNIO,37422.18,3398,,
41016,AIPE,Residencial,2016,JULIO,39213.11,3402,,
41016,AIPE,Residencial,2016,AGOSTO,38776.8,3417,,
41016,AIPE,Residencial,2016,SEPTIEMBRE,35046.31,3421,,
41016,AIPE,Residencial,2016,OCTUBRE,38803.42,3424,,
41016,AIPE,Residencial,2016,NOVIEMBRE,37010.39,3422,,
41016,AIPE,Residencial,2016,DICIEMBRE,35624.53,3434,,
41016,AIPE,Oficiales,2016,ENERO,0,3,,
41016,AIPE,Oficiales,2016,FEBRERO,25.25,3,,
41016,AIPE,Oficiales,2016,MARZO,11.22,3,,
41016,AIPE,Oficiales,2016,ABRIL,10.3,3,,
41016,AIPE,Oficiales,2016,MAYO,25.27,3,,
41016,AIPE,Oficiales,2016,JUNIO,18.73,3,,
41016,AIPE,Oficiales,2016,JULIO,5.62,3,,
41016,AIPE,Oficiales,2016,AGOSTO,24.35,3,,
41016,AIPE,Oficiales,2016,SEPTIEMBRE,20.6,3,,
41016,AIPE,Oficiales,2016,OCTUBRE,11.24,3,,
41016,AIPE,Oficiales,2016,NOVIEMBRE,19.66,3,,
41016,AIPE,Oficiales,2016,DICIEMBRE,10.3,3,,
41016,AIPE,Industrial,2016,ENERO,0,0,,
41016,AIPE,Industrial,2016,FEBRERO,0,0,,
41016,AIPE,Industrial,2016,MARZO,0,0,,
41016,AIPE,Industrial,2016,ABRIL,0,0,,
41016,AIPE,Industrial,2016,MAYO,0,0,,
41016,AIPE,Industrial,2016,JUNIO,0,0,,
41016,AIPE,Industrial,2016,JULIO,0,0,,
41016,AIPE,Industrial,2016,AGOSTO,0,0,,
41016,AIPE,Industrial,2016,SEPTIEMBRE,0,0,,
41016,AIPE,Industrial,2016,OCTUBRE,0,0,,
41016,AIPE,Industrial,2016,NOVIEMBRE,0,0,,
41016,AIPE,Industrial,2016,DICIEMBRE,0,0,,
41016,AIPE,Comercial,2016,ENERO,987.48,19,,
41016,AIPE,Comercial,2016,FEBRERO,1015.52,18,,
41016,AIPE,Comercial,2016,MARZO,908.83,18,,
41016,AIPE,Comercial,2016,ABRIL,901.84,18,,
41016,AIPE,Comercial,2016,MAYO,987.7,18,,
41016,AIPE,Comercial,2016,JUNIO,871.07,17,,
41016,AIPE,Comercial,2016,JULIO,934.91,18,,
41016,AIPE,Comercial,2016,AGOSTO,926.42,17,,
41016,AIPE,Comercial,2016,SEPTIEMBRE,960.85,19,,
41016,AIPE,Comercial,2016,OCTUBRE,1000.65,19,,
41016,AIPE,Comercial,2016,NOVIEMBRE,988.13,19,,
41016,AIPE,Comercial,2016,DICIEMBRE,1230.9,20,,
41020,ALGECIRAS,Residencial,2016,ENERO,37972.64,3456,,
41020,ALGECIRAS,Residencial,2016,FEBRERO,39502.76,3466,,
41020,ALGECIRAS,Residencial,2016,MARZO,41900.72,3482,,
41020,ALGECIRAS,Residencial,2016,ABRIL,41210.35,3498,,
41020,ALGECIRAS,Residencial,2016,MAYO,40847.48,3513,,
41020,ALGECIRAS,Residencial,2016,JUNIO,39807.46,3524,,
41020,ALGECIRAS,Residencial,2016,JULIO,40961.18,3536,,
41020,ALGECIRAS,Residencial,2016,AGOSTO,41638.34,3552,,
41020,ALGECIRAS,Residencial,2016,SEPTIEMBRE,44046.88,3566,,
41020,ALGECIRAS,Residencial,2016,OCTUBRE,43515.41,3571,,
41020,ALGECIRAS,Residencial,2016,NOVIEMBRE,41091.17,3581,,
41020,ALGECIRAS,Residencial,2016,DICIEMBRE,41256.52,3593,,
41020,ALGECIRAS,Oficiales,2016,ENERO,389.96,5,,
41020,ALGECIRAS,Oficiales,2016,FEBRERO,620.31,5,,
41020,ALGECIRAS,Oficiales,2016,MARZO,715.96,5,,
41020,ALGECIRAS,Oficiales,2016,ABRIL,501.23,5,,
41020,ALGECIRAS,Oficiales,2016,MAYO,675.56,5,,
41020,ALGECIRAS,Oficiales,2016,JUNIO,962.54,5,,
41020,ALGECIRAS,Oficiales,2016,JULIO,802.33,5,,
41020,ALGECIRAS,Oficiales,2016,AGOSTO,840.8,5,,
41020,ALGECIRAS,Oficiales,2016,SEPTIEMBRE,1298.32,5,,
41020,ALGECIRAS,Oficiales,2016,OCTUBRE,1028.08,5,,
41020,ALGECIRAS,Oficiales,2016,NOVIEMBRE,1112.1,5,,
41020,ALGECIRAS,Oficiales,2016,DICIEMBRE,1016.44,5,,
41020,ALGECIRAS,Industrial,2016,ENERO,0,0,,
41020,ALGECIRAS,Industrial,2016,FEBRERO,0,0,,
41020,ALGECIRAS,Industrial,2016,MARZO,0,0,,
41020,ALGECIRAS,Industrial,2016,ABRIL,0,0,,
41020,ALGECIRAS,Industrial,2016,MAYO,0,0,,
41020,ALGECIRAS,Industrial,2016,JUNIO,0,0,,
41020,ALGECIRAS,Industrial,2016,JULIO,0,0,,
41020,ALGECIRAS,Industrial,2016,AGOSTO,0,0,,
41020,ALGECIRAS,Industrial,2016,SEPTIEMBRE,0,0,,
41020,ALGECIRAS,Industrial,2016,OCTUBRE,0,0,,
41020,ALGECIRAS,Industrial,2016,NOVIEMBRE,0,0,,
41020,ALGECIRAS,Industrial,2016,DICIEMBRE,0,0,,
41020,ALGECIRAS,Comercial,2016,ENERO,3572.75,23,,
41020,ALGECIRAS,Comercial,2016,FEBRERO,2912.39,23,,
41020,ALGECIRAS,Comercial,2016,MARZO,3164.79,23,,
41020,ALGECIRAS,Comercial,2016,ABRIL,3195.35,22,,
41020,ALGECIRAS,Comercial,2016,MAYO,3244.97,20,,
41020,ALGECIRAS,Comercial,2016,JUNIO,3631.28,21,,
41020,ALGECIRAS,Comercial,2016,JULIO,3978.22,21,,
41020,ALGECIRAS,Comercial,2016,AGOSTO,3558.82,21,,
41020,ALGECIRAS,Comercial,2016,SEPTIEMBRE,3876.28,20,,
41020,ALGECIRAS,Comercial,2016,OCTUBRE,3591.97,20,,
41020,ALGECIRAS,Comercial,2016,NOVIEMBRE,3451.32,20,,
41020,ALGECIRAS,Comercial,2016,DICIEMBRE,3788.78,20,,
41078,BARAYA,Residencial,2016,ENERO,11586.87,1053,,
41078,BARAYA,Residencial,2016,FEBRERO,13344.33,1055,,
41078,BARAYA,Residencial,2016,MARZO,12557.57,1053,,
41078,BARAYA,Residencial,2016,ABRIL,13135.08,1059,,
41078,BARAYA,Residencial,2016,MAYO,11717.98,1063,,
41078,BARAYA,Residencial,2016,JUNIO,13195.76,1063,,
41078,BARAYA,Residencial,2016,JULIO,11799.09,1065,,
41078,BARAYA,Residencial,2016,AGOSTO,12591.27,1065,,
41078,BARAYA,Residencial,2016,SEPTIEMBRE,13146.48,1063,,
41078,BARAYA,Residencial,2016,OCTUBRE,13325.53,1066,,
41078,BARAYA,Residencial,2016,NOVIEMBRE,12530.62,1066,,
41078,BARAYA,Residencial,2016,DICIEMBRE,13461.71,1067,,
41078,BARAYA,Oficiales,2016,ENERO,69.19,2,,
41078,BARAYA,Oficiales,2016,FEBRERO,160.65,2,,
41078,BARAYA,Oficiales,2016,MARZO,239.79,2,,
41078,BARAYA,Oficiales,2016,ABRIL,105.73,2,,
