cul_codigo,cul_nombre,cul_tipo,cul_descripcion
1,Achira,2,null
2,Arracacha,2,null
3,Cebolla Junca,2,null
4,Yuca,2,null
5,Cacao,3,null
6,Café,3,null
7,Caña Panela,3,null
8,Plátano Solo,3,null
9,Plátano Intercalado,3,null
10,Aguacate,3,null
11,Badea,3,null
12,Banano,3,null
13,Curuba,3,null
14,Cítricos,3,null
15,Cholupa,3,null
16,Durazno,3,null
17,Gulupa,3,null
18,Guayaba Común,3,null
19,Guayaba Manzana,3,null
20,Guanábana,3,null
21,Granadilla,3,null
22,Lulo,3,null
23,Mango,3,null
24,Maracuyá,3,null
25,Mora,3,null
26,Papaya,3,null
27,Piña,3,null
28,Pitahaya,3,null
29,Tomate de Arbol,3,null
30,Uva,3,null
31,Flor Jamaica,3,null
32,Algodón,1,null
33,Arroz Riego,1,null
34,Arveja,1,null
35,Ahuyama,1,null
36,Cebolla Cabeza,1,null
37,Frijol Tecnificado,1,null
38,Frijol Tradicional,1,null
39,Habichuela,1,null
40,Hortalizas,1,null
41,Maíz Tecnificado Blanco,1,null
42,Maíz Tecnificado Amarillo,1,null
43,Maíz Tradicional Blanco,1,null
44,Maíz Tradicional Amarillo,1,null
45,Melón,1,null
46,Papa,1,null
47,Pepino Cohombro,1,null
48,Pimentón,1,null
49,Sandía,1,null
50,Sorgo,1,null
51,Tabaco Rubio,1,null
52,Tomate Mesa,1,null
