pro_codigo,pro_nombre
1,Administración de Empresas - Diurna
2,Administración de Empresas - Nocturna 
3,Administración de Empresas - Garzón
4,Administración de Empresas - La Plata
5,Administración de Empresas - Pitalito
6,Contaduría Pública - Diurna
7,Contaduría Pública - Nocturna
8,Contaduría Pública - Garzón 
9,Contaduría Pública - La Plata
10,Contaduría Pública - Pitalito
11,Administración Financiera - Ciclo Profesional
12,Tecnología en Administración Financiera
13,Medicina
14,Enfermería
15,Ingeniería Agrícola - Neiva
16,Ingeniería Agrícola - Garzón
17,Ingeniería Agrícola - La Plata
18,Ingeniería Agrícola - Pitalito
19,Ingeniería de Petróleos
20,Ingeniería Civil
21,Ingeniería Electrónica
22,Ingeniería de Desarrollo de Software - Neiva
23,Tecnología en Desarrollo de Software - Neiva
24,Tecnología en Desarrollo de Software - Pitalito
25,Tecnología en Obras Civiles
26,Tecnología en Obras Civiles - Garzón
27,Licenciatura en Educación Básica Con énfasis en Ciencias Naturales y Educación Ambiental - Neiva
28,Licenciatura en Educación Básica Con énfasis en humanidades y lengua Castellana
29,"Licenciatura en Educación Básica Con énfasis en Humanidades, Lengua Extranjera - Neiva"
30,Licenciatura en Matemáticas - Neiva
31,Licenciatura en Educación Básica Con énfasis en Educación Artística y Cultural
32,Licenciatura en Educación Básica Con énfasis en Educación Física Recreación y Deportes 
33,Licenciatura en Pedagogía Infantil
34,Psicología - Neiva
35,Comunicación Social y Periodísmo
36,Comunicación Social y Periodísmo- Pitalito
37,Matemáticas Aplicada - Neiva
38,Tecnología en Acuicultura Continental - Neiva
39,Licenciatura en Física - Neiva
40,Ciencias Políticas
41,Derecho  Diurna- Neiva
42,Derecho Nocturna- Neiva
43,Derecho Nocturna- Pitalito
44,Ingeniería de Sistemas
45,Ingeniería Industrial
46,Diseño Gráfico
47,Técnico Profesional en Fútbol
48,Especialización Gerencia de la Salud Ocupacional 
49,Especialización Gerencia de la Calidad y Auditoría en Salud 
50,Especialización en Alta Gerencia 
51,Especialización en Gerencia de Mercadeo estrategíco
52,Especialización en Gerencia Tributaria
53,Especialización en Epidemiologia
54,Especialización en Enfermería - Cuidado Crítico 
55,Especialización en Enfermería en Nefrológica y Urológica
56,Especializaciones clinicas equivalentes a Maestrías
57,Especialización en Anestesiología y Reanimación 
58,Especialización en Cirugía General
59,Especialización en Medicina Interna 
60,Especialización en Ginecoobstetricia
61,Especialización en Pediatría 
62,Especialización en Ingeniería Ambiental 
63,Maestría en Ecología y Gestión de Ecosistemas estrategícos
64,Maestría en Ingeniería y Gestión Ambiental
65,Especialización en Creatividad y Comunicación para la Docencia
