uni_codigo,uni_nombre
1,Universidad Surcolombiana
2,Universidad Cooperativa de Colombia
3,Universidad Antonio Nariño
4,Corporación Universitaria del Huila CORHUILA
5,Corporación Unificada Nacional CUN
6,Corporación Educativa Francisco José de Caldas
7,Corporación Universitaria Iberoamericana
8,Universidad Católica de Colombia
9,Universidad Nacional Abierta y a Distancia UNAD
10,Universidad Santo Tomas
11,Escuela Superior de Administración Pública (ESAP)
12,Centro de Formación Empresarial (CEFE)
13,Fundación Universitaria Navarra
