tcamt_codigo,tcamt_nombre
1,ENFERMEDADES ISQUEMICAS DEL CORAZON
2,ENFERMEDADES CEREBROVASCULARES
3,ENFERMEDADES CRONICAS VIAS REPIRATORIAS INFERIORES
4,"ACCIDENTES TRANSPORTE TERRESTRE, INCLUSIVE SECUELAS"
5,INFECCIONES RESPIRATORIAS AGUDAS
6,"AGRESIONES (HOMICIDIOS), INCLUSIVE SECUELAS"
7,ENFERMEDADES HIPERTENSIVAS
8,TUMOR MALIGNO DEL ESTOMAGO
9,DIABETES MELLITUS
10,ENFERMEDADES SISTEMA URINARIO
11,"ENFERMEDADES SISTEMA NERVIOSO, EXCEPTO MENINGITIS"
12,OTRAS ENFERMEDADES SISTEMA DIGESTIVO
13,"ENFERMEDAD CARDIOPULMONAR, DE LA CIRCULACION PULMONAR  Y OTRAS ENFERMEDADES DE CORAZON"
14,RESIDUO DE TUMORES MALIGNOS
15,"SINTOMAS, SIGNOS Y AFECCIONES MAL DEFINIDAS"
16,RESIDUO
17,"T. M. DE TRAQUEA, BRONQUIOS Y PULMON"
18,"TUMOR MALIGNO TEJIDO LINFATICO, ORG. HEMATOPOY. Y TEJIDOS AFINES"
19,"MALFORMACIONES CONGENITAS , DEFORMIDAD Y ANOMALIAS"
